execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_dfc_1phase_time_ms,umbra_dfc_2phase_time_ms,umbra_logical_time_ms,umbra_time_ms,postgres_dfc_1phase_time_ms,postgres_dfc_2phase_time_ms,postgres_logical_time_ms,postgres_time_ms,datafusion_dfc_1phase_time_ms,datafusion_dfc_2phase_time_ms,datafusion_logical_time_ms,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
29,2026-02-16T02:12:54.435936,1016.3823328912258,,,True,,24.738332955166698,3.266667015850544,4,28.00499997101724,,35.42062477208674,4.066084045916796,4,39.486708818003535,,276.70062496326864,9.385042125359178,4,286.0856670886278,,23.56629096902907,4,23.56629096902907,q07,7,1.0,12.08862499333918,38.7123750988394,33.29950012266636,76.74908288754523,429.9116670154035,835.0887498818338,710.3626250755042,801.6198328696191,795.5828751437366,1943.152124993503,2438.2518748752773,794.5027081295848,,True,,True,,4,716.5842079557478,,True,,4,1219.580540899187,,,True,,4,1233.151082880795,4,680.7992081157863
30,2026-02-16T02:12:57.446219,980.4794988594948,,,True,,24.778875056654215,3.3110410440713167,4,28.08991610072553,,44.55025005154312,4.309291020035744,4,48.85954107157886,,236.7219999432564,9.391707833856344,4,246.11370777711272,,32.20312483608723,4,32.20312483608723,q07,7,1.0,19.94945900514722,39.79937499389053,39.055790985003114,53.87491709552705,375.1352501567453,774.0876669995487,712.6385408919305,803.6406668834388,758.4746249485761,1745.1346248853952,2865.2852079831064,782.0347498636693,,True,,True,,4,714.9566248990595,,True,,4,1230.4007923230529,,,True,,4,1214.57508392632,4,626.7447089776397
31,2026-02-16T02:13:03.394790,1032.014832366258,,,True,,18.97104107774794,3.2567500602453947,2,22.227791137993336,,37.7553328871727,3.7738748360425234,2,41.52920772321522,,78.20908282883465,8.548124926164746,2,86.7572077549994,,21.777291782200336,2,21.777291782200336,q08,8,1.0,34.330083057284355,49.11695793271065,57.374458061531186,47.61545895598829,417.18470794148743,1317.5644581206143,1565.521250013262,456.0299578588456,980.66550004296,1659.6346248406917,1705.5171669926494,1009.9743329919876,,True,,True,,2,661.4713328890502,,True,,2,1386.2140830606222,,,True,,2,1278.2057081349194,2,663.4280830621719
32,2026-02-16T02:13:06.354862,917.664626147598,,,True,,21.328791975975037,3.4262919798493385,2,24.755083955824375,,37.69025020301342,4.7217500396072865,2,42.41200024262071,,61.55762518756091,7.485416950657964,2,69.04304213821888,,24.133624974638224,2,24.133624974638224,q08,8,1.0,49.64416706934571,49.345457926392555,128.09149990789592,93.04616693407296,395.4777920152992,720.0365830212831,679.142874898389,1065.0370840448886,676.6970418393612,1377.1277910564097,1952.7020829264077,601.2355000711977,,True,,True,,2,722.1452910453081,,True,,2,1310.5173339135945,,,True,,2,1271.7553339898586,2,712.3566661030054
33,2026-02-16T02:13:09.284932,914.5835835952312,,,True,,19.775457913056016,3.005000064149499,2,22.780457977205515,,54.6833339612931,4.202416865155101,2,58.8857508264482,,85.47208295203745,21.427416941151023,2,106.89949989318848,,23.641624953597784,2,23.641624953597784,q08,8,1.0,64.57675015553832,61.91333383321762,61.41187506727874,280.03562497906387,383.01637512631714,819.4040828384459,757.3177500162274,932.899042032659,841.1921251099557,1408.4819580893964,1709.7626249305904,708.673374960199,,True,,True,,2,713.7480829842389,,True,,2,1309.1314579360187,,,True,,2,1270.7153749652207,2,750.593832693994
34,2026-02-16T02:13:12.293953,799.745332216844,,,True,,19.79833305813372,3.085250034928322,2,22.883583093062043,,35.09512497112155,3.887500148266554,2,38.9826251193881,,61.71258306130767,8.595667080953717,2,70.30825014226139,,22.90266589261591,2,22.90266589261591,q08,8,1.0,47.07670793868601,48.20674983784557,54.76154200732708,75.41108294390142,380.09404204785824,1070.5357920378449,702.4739999324083,917.4554159399122,751.0044591035694,1478.6670829635111,1524.5354999788103,767.8451249375939,,True,,True,,2,710.9483745880425,,True,,2,1304.9836247228086,,,True,,2,1264.512374997139,2,658.3629590459168
35,2026-02-16T02:13:15.123021,813.1418311968446,,,True,,19.79516609571874,4.471500171348453,2,24.26666626706719,,34.1514169704169,3.9387079887092113,2,38.090124959126115,,62.447624979540706,7.869166089221835,2,70.31679106876254,,23.036415921524167,2,23.036415921524167,q08,8,1.0,41.53974982909858,59.43245883099735,74.08154103904963,69.56891599111259,396.6035419143736,659.2530829366297,717.9289578925818,733.981458004564,705.9621249791235,1357.0407500956208,1579.9181249458345,639.5024999510497,,True,,True,,2,712.2458326630294,,True,,2,1319.5158331654966,,,True,,2,1268.0740421637893,2,664.2722501419485
36,2026-02-16T02:14:15.990577,24906.862291973084,,,True,,75.72449999861419,2.781125018373132,175,78.50562501698732,,114.202958997339,3.242083126679063,175,117.44504212401807,,23581.86783385463,6.636624922975898,175,23588.504458777606,,103.2487079501152,175,103.2487079501152,q09,9,1.0,78.18487496115267,318.35395796224475,77.22279196605086,291.76966613158584,1046.6104170773178,1767.972666071728,6710.562458960339,4785.090083954856,788.575833896175,1581.134625012055,36478.652874939144,1680.035165976733,,True,,True,,175,957.1903753094376,,True,,175,1920.6692497245967,,,True,,175,2034.152708016336,175,1040.827834047377
37,2026-02-16T02:14:45.072871,26053.671206114817,,,True,,65.75195793993771,2.4804160930216312,175,68.23237403295934,,108.44670794904232,3.0175831634551287,175,111.46429111249743,,24844.88820913248,9.049708023667336,175,24853.937917156145,,95.5460409168154,175,95.5460409168154,q09,9,1.0,53.56691707856953,399.89570807665586,143.3419578243047,418.64116699434817,814.0685830730945,1740.979167167097,6911.560000153258,4687.550292117521,826.7972080502659,1930.5550418794155,44675.41745887138,1644.2863328848034,,True,,True,,175,930.4320001974702,,True,,175,1827.5148328393695,,,True,,175,1965.3215422295032,175,978.8359170779586
38,2026-02-16T02:15:05.392711,17250.19483268261,,,True,,65.25379116646945,2.2530420683324337,175,67.50683323480189,,115.65674981102347,3.1737079843878746,175,118.83045779541136,,15793.324833968654,7.358958013355732,175,15800.68379198201,,98.03137485869227,175,98.03137485869227,q09,9,1.0,78.2287078909576,506.2459579203278,83.22666585445404,300.1455420162529,958.8536249939352,1616.9197498820722,7243.542625103146,4827.428791904822,847.650125157088,1890.061791986227,34374.47924981825,1663.4901252109555,,True,,True,,175,1013.2368747144938,,True,,175,1810.800916980952,,,True,,175,2077.205582987517,175,945.1853330247104
