execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
57,2026-03-01T00:13:07.020175,21.777332294732332,,128,,True,,9.879790712147951,6.359290797263384,1,16.239081509411335,,11.897541582584381,8.286499883979559,1,20.18404146656394,4,8,PHASE_COMPETITION,10000,2,128,4,8,10000
58,2026-03-01T00:13:07.064602,21.303124260157347,,128,,True,,10.639916639775038,5.855416879057884,1,16.495333518832922,,10.663207620382309,7.995791733264923,1,18.658999353647232,4,8,PHASE_COMPETITION,10000,3,128,4,8,10000
59,2026-03-01T00:13:07.110949,22.75404194369912,,128,,True,,11.13866688683629,6.610416807234287,1,17.749083694070578,,11.615375056862831,7.195249665528536,1,18.810624722391367,4,8,PHASE_COMPETITION,10000,4,128,4,8,10000
60,2026-03-01T00:13:07.156807,21.752250380814075,,128,,True,,10.889583267271519,5.746917333453894,1,16.636500600725412,,10.862667113542557,7.681208197027445,1,18.54387531057,4,8,PHASE_COMPETITION,10000,5,128,4,8,10000
61,2026-03-01T00:13:07.252603,22.581499069929123,,128,,True,,10.10070787742734,6.576834246516228,1,16.677542123943567,,12.480791192501783,8.443040773272514,1,20.923831965774298,4,16,PHASE_COMPETITION,10000,1,128,4,16,10000
62,2026-03-01T00:13:07.300862,22.8943326510489,,128,,True,,11.343457736074924,7.018500007688999,1,18.361957743763924,,11.550874914973974,8.42537498101592,1,19.976249895989895,4,16,PHASE_COMPETITION,10000,2,128,4,16,10000
63,2026-03-01T00:13:07.349333,23.12962431460619,,128,,True,,11.293666437268257,6.267375312745571,1,17.56104175001383,,11.835957877337933,8.333333302289248,1,20.16929117962718,4,16,PHASE_COMPETITION,10000,3,128,4,16,10000
64,2026-03-01T00:13:07.398600,22.033290937542915,,128,,True,,10.981208179146051,7.025665603578091,1,18.006873782724142,,11.052082758396864,8.476333227008581,1,19.528415985405445,4,16,PHASE_COMPETITION,10000,4,128,4,16,10000
65,2026-03-01T00:13:07.446434,23.10362458229065,,128,,True,,10.221083648502827,6.251874845474958,1,16.472958493977785,,12.882540933787823,8.197834249585867,1,21.08037518337369,4,16,PHASE_COMPETITION,10000,5,128,4,16,10000
66,2026-03-01T00:13:07.556909,25.907957926392555,,128,,True,,12.831457890570164,8.629416581243277,1,21.46087447181344,,13.076500035822392,9.450249839574099,1,22.52674987539649,4,32,PHASE_COMPETITION,10000,1,128,4,32,10000
67,2026-03-01T00:13:07.642607,24.459748528897762,,128,,True,,12.146582826972008,7.743834052234888,1,19.890416879206896,,12.313165701925755,41.82079108431935,1,54.13395678624511,4,32,PHASE_COMPETITION,10000,2,128,4,32,10000
68,2026-03-01T00:13:07.693821,23.58745876699686,,128,,True,,12.28204183280468,7.138457614928484,1,19.420499447733164,,11.30541693419218,9.244666900485754,1,20.550083834677935,4,32,PHASE_COMPETITION,10000,3,128,4,32,10000
69,2026-03-01T00:13:07.746577,25.4073329269886,,128,,True,,12.39187503233552,7.4279168620705605,1,19.81979189440608,,13.015457894653082,8.542667143046856,1,21.558125037699938,4,32,PHASE_COMPETITION,10000,4,128,4,32,10000
70,2026-03-01T00:13:07.797792,21.88512496650219,,128,,True,,11.041749734431505,6.892374716699123,1,17.93412445113063,,10.843375232070684,8.750583045184612,1,19.593958277255297,4,32,PHASE_COMPETITION,10000,5,128,4,32,10000
71,2026-03-01T00:13:07.923440,26.91837539896369,,128,,True,,13.785083312541246,9.225917048752308,1,23.011000361293554,,13.133292086422443,11.082291603088379,1,24.215583689510822,4,64,PHASE_COMPETITION,10000,1,128,4,64,10000
72,2026-03-01T00:13:07.991510,33.295249566435814,,128,,True,,14.640499837696552,8.999541867524385,1,23.640041705220938,,18.65474972873926,11.223125271499157,1,29.87787500023842,4,64,PHASE_COMPETITION,10000,2,128,4,64,10000
73,2026-03-01T00:13:08.059995,26.44191589206457,,128,,True,,14.629415702074766,11.264499742537737,1,25.893915444612503,,11.812500189989805,11.074415873736143,1,22.88691606372595,4,64,PHASE_COMPETITION,10000,3,128,4,64,10000
74,2026-03-01T00:13:08.121441,25.825541000813246,,128,,True,,13.524415902793407,8.984582964330912,1,22.50899886712432,,12.301125098019838,10.914875194430351,1,23.21600029245019,4,64,PHASE_COMPETITION,10000,4,128,4,64,10000
75,2026-03-01T00:13:08.217579,27.13470859453082,,128,,True,,13.962624594569206,43.80716709420085,1,57.769791688770056,,13.172083999961615,10.854416992515326,1,24.02650099247694,4,64,PHASE_COMPETITION,10000,5,128,4,64,10000
76,2026-03-01T00:13:08.382579,34.718625247478485,,128,,True,,17.919208388775587,12.126459274441004,1,30.04566766321659,,16.799416858702898,14.500666875392199,1,31.300083734095097,4,128,PHASE_COMPETITION,10000,1,128,4,128,10000
77,2026-03-01T00:13:08.475277,44.4216663017869,,128,,True,,28.066125232726336,12.142583727836609,1,40.208708960562944,,16.355541069060564,14.662208035588264,1,31.01774910464883,4,128,PHASE_COMPETITION,10000,2,128,4,128,10000
78,2026-03-01T00:13:08.591435,35.17354233190417,,128,,True,,19.38387518748641,44.35091698542237,1,63.73479217290878,,15.789667144417763,15.182584058493376,1,30.97225120291114,4,128,PHASE_COMPETITION,10000,3,128,4,128,10000
79,2026-03-01T00:13:08.684758,40.128250140696764,,128,,True,,23.805249948054552,15.00795828178525,1,38.8132082298398,,16.323000192642212,13.93370795994997,1,30.256708152592182,4,128,PHASE_COMPETITION,10000,4,128,4,128,10000
80,2026-03-01T00:13:08.767587,34.27574969828129,,128,,True,,19.516166765242815,12.170208152383566,1,31.68637491762638,,14.759582933038473,15.207416843622923,1,29.966999776661396,4,128,PHASE_COMPETITION,10000,5,128,4,128,10000
81,2026-03-01T00:13:09.063596,55.32299913465977,,128,,True,,30.70504078641534,18.933916930109262,1,49.6389577165246,,24.61795834824443,21.710124798119068,1,46.3280831463635,4,256,PHASE_COMPETITION,10000,1,128,4,256,10000
82,2026-03-01T00:13:09.231553,57.45095806196332,,128,,True,,30.843957792967558,19.04641604050994,1,49.8903738334775,,26.607000268995762,55.70812523365021,1,82.31512550264597,4,256,PHASE_COMPETITION,10000,2,128,4,256,10000
83,2026-03-01T00:13:09.364480,56.95345951244235,,128,,True,,30.376917216926813,19.211709033697844,1,49.58862625062466,,26.576542295515537,21.356459241360426,1,47.93300153687596,4,256,PHASE_COMPETITION,10000,3,128,4,256,10000
84,2026-03-01T00:13:09.532507,57.2235407307744,,128,,True,,31.67879069224,18.993916921317577,1,50.67270761355758,,25.544750038534403,57.583208195865154,1,83.12795823439956,4,256,PHASE_COMPETITION,10000,4,128,4,256,10000
85,2026-03-01T00:13:09.663124,55.62941683456302,,128,,True,,30.910207889974117,18.39891681447625,1,49.30912470445037,,24.7192089445889,22.231250070035458,1,46.95045901462436,4,256,PHASE_COMPETITION,10000,5,128,4,256,10000
86,2026-03-01T00:13:10.262394,132.43620889261365,,128,,True,,67.54491711035371,67.61258281767368,1,135.1574999280274,,64.89129178225994,33.99024996906519,1,98.88154175132513,4,512,PHASE_COMPETITION,10000,1,128,4,512,10000
87,2026-03-01T00:13:10.567726,132.57308257743716,,128,,True,,69.1824578680098,72.19379069283605,1,141.37624856084585,,63.39062470942736,35.05808301270008,1,98.44870772212744,4,512,PHASE_COMPETITION,10000,2,128,4,512,10000
88,2026-03-01T00:13:10.868678,133.33508279174566,,128,,True,,69.989874958992,69.29404241964221,1,139.28391737863421,,63.34520783275366,33.608915749937296,1,96.95412358269095,4,512,PHASE_COMPETITION,10000,3,128,4,512,10000
89,2026-03-01T00:13:11.173190,134.78566706180573,,128,,True,,69.95058385655284,69.11920802667737,1,139.0697918832302,,64.83508320525289,35.04004096612334,1,99.87512417137623,4,512,PHASE_COMPETITION,10000,4,128,4,512,10000
90,2026-03-01T00:13:11.474229,131.39537489041686,,128,,True,,72.11995776742697,68.70970875024796,1,140.82966651767492,,59.27541712298989,33.953540958464146,1,93.22895808145404,4,512,PHASE_COMPETITION,10000,5,128,4,512,10000
91,2026-03-01T00:13:12.393331,29.652582947164774,,128,,True,,13.636291958391666,6.855333223938942,1,20.49162518233061,,16.016290988773108,7.650082930922508,1,23.666373919695616,8,2,PHASE_COMPETITION,10000,1,128,8,2,10000
92,2026-03-01T00:13:12.443904,28.550874907523394,,128,,True,,14.098166953772306,5.404375027865171,1,19.502541981637478,,14.452707953751087,7.177458144724369,1,21.630166098475456,8,2,PHASE_COMPETITION,10000,2,128,8,2,10000
93,2026-03-01T00:13:12.495844,29.894500970840454,,128,,True,,14.625833835452795,5.698041990399361,1,20.323875825852156,,15.268667135387659,7.095667067915201,1,22.36433420330286,8,2,PHASE_COMPETITION,10000,3,128,8,2,10000
94,2026-03-01T00:13:12.546971,28.73133309185505,,128,,True,,14.134500175714493,5.46483276411891,1,19.599332939833403,,14.596832916140556,7.282000035047531,1,21.878832951188087,8,2,PHASE_COMPETITION,10000,4,128,8,2,10000
95,2026-03-01T00:13:12.597504,28.52529101073742,,128,,True,,13.861082959920168,5.4417080245912075,1,19.302790984511375,,14.664208050817251,7.566249929368496,1,22.230457980185747,8,2,PHASE_COMPETITION,10000,5,128,8,2,10000
96,2026-03-01T00:13:12.703340,29.84766708686948,,128,,True,,14.392458833754063,5.636707879602909,1,20.02916671335697,,15.455208253115416,7.721416186541319,1,23.176624439656734,8,4,PHASE_COMPETITION,10000,1,128,8,4,10000
97,2026-03-01T00:13:12.757156,31.02174960076809,,128,,True,,14.409041963517666,6.169457919895649,1,20.578499883413315,,16.612707637250423,7.354500237852335,1,23.96720787510276,8,4,PHASE_COMPETITION,10000,2,128,8,4,10000
98,2026-03-01T00:13:12.847818,29.761998914182186,,128,,True,,13.402082957327366,5.949042271822691,1,19.351125229150057,,16.35991595685482,44.82158413156867,1,61.18150008842349,8,4,PHASE_COMPETITION,10000,3,128,8,4,10000
99,2026-03-01T00:13:12.902149,31.097833067178726,,128,,True,,14.816250186413527,6.122083868831396,1,20.938334055244923,,16.2815828807652,7.370916195213795,1,23.652499075978994,8,4,PHASE_COMPETITION,10000,4,128,8,4,10000
100,2026-03-01T00:13:12.956617,30.394709203392267,,128,,True,,14.20266693457961,5.888625048100948,1,20.09129198268056,,16.192042268812656,7.517834194004536,1,23.709876462817192,8,4,PHASE_COMPETITION,10000,5,128,8,4,10000
101,2026-03-01T00:13:13.067393,31.046707648783922,,128,,True,,15.045957639813423,5.768915638327599,1,20.81487327814102,,16.0007500089705,7.847208064049482,1,23.84795807301998,8,8,PHASE_COMPETITION,10000,1,128,8,8,10000
102,2026-03-01T00:13:13.122446,31.14500129595399,,128,,True,,15.006792265921831,5.803084000945091,1,20.809876266866922,,16.138209030032158,8.07562517002225,1,24.213834200054407,8,8,PHASE_COMPETITION,10000,2,128,8,8,10000
103,2026-03-01T00:13:13.177873,31.533334404230118,,128,,True,,15.468084253370762,6.777291186153889,1,22.24537543952465,,16.065250150859356,7.7271671034395695,1,23.792417254298925,8,8,PHASE_COMPETITION,10000,3,128,8,8,10000
104,2026-03-01T00:13:13.233222,32.298083417117596,,128,,True,,15.154124703258276,5.750250071287155,1,20.90437477454543,,17.14395871385932,7.622875273227692,1,24.76683398708701,8,8,PHASE_COMPETITION,10000,4,128,8,8,10000
105,2026-03-01T00:13:13.287105,30.106791760772467,,128,,True,,14.677499886602163,6.573542021214962,1,21.251041907817125,,15.429291874170303,7.655458990484476,1,23.08475086465478,8,8,PHASE_COMPETITION,10000,5,128,8,8,10000
106,2026-03-01T00:13:13.404251,32.664707861840725,,128,,True,,16.446582973003387,6.863124668598175,1,23.309707641601562,,16.218124888837337,8.832207880914211,1,25.05033276975155,8,16,PHASE_COMPETITION,10000,1,128,8,16,10000
107,2026-03-01T00:13:13.459514,30.394125264137983,,128,,True,,14.559166971594095,6.484707817435265,1,21.04387478902936,,15.834958292543888,8.447874803096056,1,24.282833095639944,8,16,PHASE_COMPETITION,10000,2,128,8,16,10000
108,2026-03-01T00:13:13.517679,33.15320797264576,,128,,True,,15.731582883745432,6.807541009038687,1,22.53912389278412,,17.421625088900328,8.169000037014484,1,25.590625125914812,8,16,PHASE_COMPETITION,10000,3,128,8,16,10000
109,2026-03-01T00:13:13.607818,32.209749799221754,,128,,True,,14.85699974000454,6.266625132411718,1,21.123624872416258,,17.352750059217215,40.831583086401224,1,58.18433314561844,8,16,PHASE_COMPETITION,10000,4,128,8,16,10000
110,2026-03-01T00:13:13.664581,31.935957726091146,,128,,True,,16.860750038176775,6.316041108220816,1,23.17679114639759,,15.075207687914371,8.055916987359524,1,23.131124675273895,8,16,PHASE_COMPETITION,10000,5,128,8,16,10000
111,2026-03-01T00:13:13.786740,32.15320874005556,,128,,True,,16.70091738924384,7.3453751392662525,1,24.046292528510094,,15.45229135081172,8.78608413040638,1,24.2383754812181,8,32,PHASE_COMPETITION,10000,1,128,8,32,10000
