execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_num_rows,variation_policy_threshold,variation_rows_to_remove,variation_type
21,2026-03-01T00:03:22.679901,5.277377553284168,,,True,,0.42283395305275917,0.8342093788087368,0,1.257043331861496,,0.33954204991459846,True,,0.5885409191250801,0,0.9280829690396786,,0.2704593352973461,0.8542081341147423,0,1.1246674694120884,,0.3998340107500553,100,0.3998340107500553,0.5115000531077385,,1.0562497191131115,1.2699170038104057,0,1.56774977222085,1.56774977222085,1,JOIN,0,1,0,,100,1,,,,,join_matches
22,2026-03-01T00:03:22.711392,5.143126007169485,,,True,,0.3142920322716236,0.6609996780753136,0,0.9752917103469372,,0.287041999399662,True,,0.5786661058664322,0,0.8657081052660942,,0.379249919205904,0.9676250629127026,0,1.3468749821186066,,0.3581251949071884,100,0.3581251949071884,0.6522918120026588,,0.9448342025279999,1.2482088059186935,0,1.5971260145306587,1.5971260145306587,1,JOIN,1,2,0,,100,1,,,,,join_matches
23,2026-03-01T00:03:22.743514,6.1737908981740475,,,True,,0.4013748839497566,0.7057497277855873,0,1.107124611735344,,0.5411673337221146,True,,0.7345001213252544,0,1.275667455047369,,0.3382498398423195,0.8376659825444221,0,1.1759158223867416,,0.7414580322802067,100,0.7414580322802067,0.5427501164376736,,1.3308748602867126,1.612416934221983,0,1.8736249767243862,1.8736249767243862,1,JOIN,2,3,0,,100,1,,,,,join_matches
24,2026-03-01T00:03:22.774877,5.484791938215494,,,True,,0.3854166716337204,0.7791249081492424,0,1.1645415797829628,,0.3798329271376133,True,,0.6173746660351753,0,0.9972075931727886,,0.30395807698369026,0.8192923851311207,0,1.123250462114811,,0.4677921533584595,100,0.4677921533584595,0.5100001581013203,,1.221999991685152,1.6699591651558876,0,1.7320001497864723,1.7320001497864723,1,JOIN,3,4,0,,100,1,,,,,join_matches
25,2026-03-01T00:03:22.805549,5.753958597779274,,,True,,0.33900002017617226,0.6528329104185104,0,0.9918329305946827,,0.35299966111779213,True,,0.6142919883131981,0,0.9672916494309902,,0.28179166838526726,1.0458328761160374,0,1.3276245445013046,,0.4109581932425499,100,0.4109581932425499,0.7954169996082783,,1.2608342804014683,1.2185843661427498,0,2.0562512800097466,2.0562512800097466,1,JOIN,4,5,0,,100,1,,,,,join_matches
26,2026-03-01T00:03:22.986591,32.11554326117039,,,True,,0.45779207721352577,0.7271249778568745,900,1.1849170550704002,,0.5885832943022251,True,,0.6471667438745499,900,1.235750038176775,,26.016500312834978,0.8451249450445175,900,26.861625257879496,,0.5377922207117081,1000,0.5377922207117081,0.6837085820734501,,1.6117501072585583,1.3272501528263092,900,2.2954586893320084,2.2954586893320084,1,JOIN,0,1,1,,1000,2,,,,,join_matches
27,2026-03-01T00:03:23.061550,6.99270935729146,,,True,,0.5661253817379475,0.7736668922007084,900,1.3397922739386559,,0.6620418280363083,True,,0.7195002399384975,900,1.3815420679748058,,0.5152500234544277,0.8468329906463623,900,1.36208301410079,,0.5130833014845848,1000,0.5130833014845848,0.9648753330111504,,1.4313333667814732,1.3075834140181541,900,2.3962086997926235,2.3962086997926235,1,JOIN,1,2,1,,1000,2,,,,,join_matches
28,2026-03-01T00:03:23.132971,7.031918037682772,,,True,,0.4304577596485615,0.729875173419714,900,1.1603329330682755,,0.7872502319514751,True,,0.6424998864531517,900,1.4297501184046268,,0.4943753592669964,0.8239168673753738,900,1.3182922266423702,,0.4465002566576004,1000,0.4465002566576004,1.0736673139035702,,1.6033751890063286,1.509374938905239,900,2.6770425029098988,2.6770425029098988,1,JOIN,2,3,1,,1000,2,,,,,join_matches
29,2026-03-01T00:03:23.205619,6.658667698502541,,,True,,0.4752920940518379,0.7451251149177551,900,1.220417208969593,,0.5327500402927399,True,,0.6210417486727238,900,1.1537917889654636,,0.4504173994064331,0.8112089708447456,900,1.2616263702511787,,0.48724981024861336,1000,0.48724981024861336,0.8026249706745148,,1.732957549393177,1.290041022002697,900,2.535582520067692,2.535582520067692,1,JOIN,3,4,1,,1000,2,,,,,join_matches
30,2026-03-01T00:03:23.279272,6.873207166790962,,,True,,0.8292081765830517,0.801917165517807,900,1.6311253421008587,,0.5712080746889114,True,,0.6117499433457851,900,1.1829580180346966,,0.6785416044294834,0.84725022315979,900,1.5257918275892735,,0.6947913207113743,1000,0.6947913207113743,0.6632497534155846,,1.1752909049391747,1.41616677865386,900,1.8385406583547592,1.8385406583547592,1,JOIN,4,5,1,,1000,2,,,,,join_matches
31,2026-03-01T00:03:24.304382,14.471248723566532,,,True,,1.6204998828470707,0.7859161123633385,9900,2.406415995210409,,2.014374826103449,True,,0.6923750042915344,9900,2.7067498303949833,,1.6937917098402977,0.9933747351169586,9900,2.6871664449572563,,1.7663338221609592,10000,1.7663338221609592,1.8125828355550766,,3.0919997952878475,1.2814169749617577,9900,4.904582630842924,4.904582630842924,1,JOIN,0,1,2,,10000,3,,,,,join_matches
32,2026-03-01T00:03:24.798996,18.068916629999876,,,True,,1.7652502283453941,0.7889168336987495,9900,2.5541670620441437,,1.6922499053180218,True,,0.7194173522293568,9900,2.4116672575473785,,1.9383751787245274,0.9377077221870422,9900,2.8760829009115696,,2.261207904666662,10000,2.261207904666662,1.752333715558052,,6.21345778927207,8.328000083565712,9900,7.965791504830122,7.965791504830122,1,JOIN,1,2,2,,10000,3,,,,,join_matches
33,2026-03-01T00:03:25.284280,16.06537727639079,,,True,,2.1112090907990932,0.8432497270405293,9900,2.9544588178396225,,2.8457501903176308,True,,0.6516668945550919,9900,3.4974170848727226,,1.9359169527888298,1.0316669940948486,9900,2.9675839468836784,,1.949000172317028,10000,1.949000172317028,1.729791983962059,,2.9671252705156803,1.4719166792929173,9900,4.696917254477739,4.696917254477739,1,JOIN,2,3,2,,10000,3,,,,,join_matches
34,2026-03-01T00:03:25.760410,14.948416501283646,,,True,,1.9519999623298645,0.8296249434351921,9900,2.7816249057650566,,1.930832862854004,True,,0.8454588241875172,9900,2.776291687041521,,1.6636666841804981,1.0265829041600227,9900,2.690249588340521,,2.0407922565937042,10000,2.0407922565937042,1.6835830174386501,,2.9758750461041927,1.3255840167403221,9900,4.659458063542843,4.659458063542843,1,JOIN,3,4,2,,10000,3,,,,,join_matches
35,2026-03-01T00:03:26.241303,16.04816596955061,,,True,,1.9240416586399078,0.8314996957778931,9900,2.755541354417801,,1.7238752916455269,True,,0.7024579681456089,9900,2.426333259791136,,2.2180001251399517,0.9500831365585327,9900,3.1680832616984844,,2.251292113214731,10000,2.251292113214731,2.2419579327106476,,3.2049580477178097,1.4843754470348358,9900,5.446915980428457,5.446915980428457,1,JOIN,4,5,2,,10000,3,,,,,join_matches
36,2026-03-01T00:03:35.489736,98.71258214116096,,,True,,15.178374946117401,1.0019997134804726,99900,16.180374659597874,,15.01120813190937,True,,0.9051668457686901,99900,15.91637497767806,,14.1249168664217,1.1075828224420547,99900,15.232499688863754,,13.846667017787695,100000,13.846667017787695,14.280540868639946,,23.256124928593636,1.5878751873970032,99900,37.53666579723358,37.53666579723358,1,JOIN,0,1,3,,100000,4,,,,,join_matches
37,2026-03-01T00:03:44.485679,117.7211650647223,,,True,,13.327874708920717,0.9437501430511475,99900,14.271624851971865,,14.742415864020586,True,,0.9247497655451298,99900,15.667165629565716,,14.62575001642108,1.1240416206419468,99900,15.749791637063026,,13.11037503182888,100000,13.11037503182888,15.348415821790695,,43.57379209250212,7.333333138376474,99900,58.92220791429281,58.92220791429281,1,JOIN,1,2,3,,100000,4,,,,,join_matches
38,2026-03-01T00:03:57.587308,239.70129061490297,,,True,,23.376207798719406,3.2489579170942307,99900,26.625165715813637,,24.322791025042534,True,,1.2923339381814003,99900,25.615124963223934,,23.554583080112934,1.6849576495587826,99900,25.239540729671717,,21.52958419173956,100000,21.52958419173956,24.250791873782873,,116.44108314067125,15.596333891153336,99900,140.69187501445413,140.69187501445413,1,JOIN,2,3,3,,100000,4,,,,,join_matches
39,2026-03-01T00:04:14.850612,241.6128320619464,,,True,,35.548041108995676,3.2920418307185173,99900,38.84008293971419,,35.50612507387996,True,,1.8788748420774937,99900,37.38499991595745,,41.878582909703255,3.003791905939579,99900,44.882374815642834,,41.95958375930786,100000,41.95958375930786,43.52949978783727,,35.016290843486786,2.1811658516526222,99900,78.54579063132405,78.54579063132405,1,JOIN,3,4,3,,100000,4,,,,,join_matches
40,2026-03-01T00:04:22.518289,185.1290832273662,,,True,,18.592790700495243,1.3351249508559704,99900,19.927915651351213,,18.06533383205533,True,,1.04591716080904,99900,19.11125099286437,,19.101749639958143,1.3679158873856068,99900,20.46966552734375,,20.685499999672174,100000,20.685499999672174,20.705209113657475,,84.22954194247723,1.9552907906472683,99900,104.9347510561347,104.9347510561347,1,JOIN,4,5,3,,100000,4,,,,,join_matches
41,2026-03-01T00:04:22.823720,95.21962469443679,,,True,,5.332457832992077,1.7267093062400818,10,7.059167139232159,,10.256833862513304,True,,2.7719582431018353,10,13.028792105615139,,15.24708280339837,4.993749782443047,10,20.240832585841417,,6.568166892975569,10,6.568166892975569,6.999791134148836,,41.32287483662367,3.583790734410286,10,48.322665970772505,48.322665970772505,1,GROUP_BY,0,1,0,,,1,10,,,,num_groups
42,2026-03-01T00:04:22.974453,100.3502905368805,,,True,,5.026750266551971,1.75829092040658,10,6.785041186958551,,9.517207741737366,True,,2.8630420565605164,10,12.380249798297882,,23.0915411375463,4.501916002482176,10,27.593457140028477,,5.157083738595247,10,5.157083738595247,8.425666950643063,,40.00879172235727,3.540999721735716,10,48.434458673000336,48.434458673000336,1,GROUP_BY,1,2,0,,,1,10,,,,num_groups
43,2026-03-01T00:04:23.118209,93.82804110646248,,,True,,5.117624998092651,1.8080840818583965,10,6.925709079951048,,11.029249988496304,True,,3.898083232343197,10,14.9273332208395,,14.106125105172396,4.887707997113466,10,18.993833102285862,,5.295624956488609,10,5.295624956488609,8.12629098072648,,39.55924976617098,3.581166733056307,10,47.68554074689746,47.68554074689746,1,GROUP_BY,2,3,0,,,1,10,,,,num_groups
44,2026-03-01T00:04:23.263064,94.08716578036547,,,True,,5.328875035047531,1.7499588429927826,10,7.078833878040314,,11.424790602177382,True,,3.1712092459201813,10,14.595999848097563,,14.322749804705381,5.602249875664711,10,19.924999680370092,,4.844666924327612,10,4.844666924327612,7.324707694351673,,40.31795775517821,3.579874988645315,10,47.642665449529886,47.642665449529886,1,GROUP_BY,3,4,0,,,1,10,,,,num_groups
