execution_number,timestamp,duration_ms,error,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
133,2026-02-16T01:19:44.643077,30.606333864852786,,,5.85337495431304,3.453125013038516,10,9.306499967351556,,9.71270794980228,4.748124862089753,10,14.460832811892033,16,,6.834957981482148,10,10000,13,2,17
134,2026-02-16T01:19:44.682137,32.74362487718463,,,6.350167095661163,3.1195420306175947,10,9.469709126278758,,8.682584157213569,6.133333081379533,10,14.815917238593102,16,,8.453709073364735,10,10000,14,2,17
135,2026-02-16T01:19:44.719093,30.397375114262104,,,7.723000133410096,3.2339580357074738,10,10.95695816911757,,8.333666017279029,4.72233397886157,10,13.0559999961406,16,,6.380500039085746,10,10000,15,2,17
136,2026-02-16T01:19:44.759505,33.847416983917356,,,7.919040974229574,3.0693330336362123,10,10.988374007865787,,10.722666047513485,6.060665939003229,10,16.783331986516714,16,,6.071583135053515,10,10000,16,2,17
137,2026-02-16T01:19:44.797640,32.06650004722178,,,7.562499959021807,3.192916978150606,10,10.755416937172413,,8.933458011597395,5.384249845519662,10,14.317707857117057,16,,6.988833891227841,10,10000,17,2,17
138,2026-02-16T01:19:44.837138,33.12100004404783,,,7.156834006309509,3.8667500484734774,10,11.023584054782987,,10.056500090286136,4.8859999515116215,10,14.942500041797757,16,,7.149792043492198,10,10000,18,2,17
139,2026-02-16T01:19:44.876683,33.40312489308417,,,6.865707924589515,3.1134169548749924,10,9.979124879464507,,11.511582881212234,5.854624789208174,10,17.36620767042041,16,,6.054250057786703,10,10000,19,2,17
140,2026-02-16T01:19:44.916947,34.02716596610844,,,8.528667036443949,3.212583949789405,10,11.741250986233354,,9.918499970808625,5.146207986399531,10,15.064707957208157,16,,7.216790923848748,10,10000,20,2,17
141,2026-02-16T01:19:45.006368,33.066416857764125,,,6.80733285844326,3.3702498767524958,10,10.177582735195756,,10.670250048860908,5.87170897051692,10,16.541959019377828,16,,6.3426250126212835,10,10000,1,4,17
142,2026-02-16T01:19:45.051265,33.511250047013164,,,8.29916587099433,3.5015831235796213,10,11.80074899457395,,8.338707964867353,5.089625017717481,10,13.428332982584834,16,,8.276833919808269,10,10000,2,4,17
143,2026-02-16T01:19:45.095390,32.175624975934625,,,6.260458147153258,3.7703749258071184,10,10.030833072960377,,9.717082837596536,5.623833043500781,10,15.340915881097317,16,,6.799208000302315,10,10000,3,4,17
144,2026-02-16T01:19:45.140673,33.63979188725352,,,7.892250083386898,3.553332993760705,10,11.445583077147603,,9.80345904827118,5.665917182341218,10,15.469376230612397,16,,6.720040924847126,10,10000,4,4,17
145,2026-02-16T01:19:45.208685,55.88908400386572,,,7.795624900609255,25.43645817786455,10,33.232083078473806,,10.283834068104625,5.272666923701763,10,15.556500991806388,16,,7.0968749932944775,10,10000,5,4,17
146,2026-02-16T01:19:45.252532,32.44833298958838,,,7.622624980285764,3.554374910891056,10,11.17699989117682,,8.33266694098711,5.899457959458232,10,14.232124900445342,16,,7.035290822386742,10,10000,6,4,17
147,2026-02-16T01:19:45.296315,31.78770816884935,,,6.717915879562497,3.6837919615209103,10,10.401707841083407,,8.743542013689876,5.612084176391363,10,14.355626190081239,16,,7.025792030617595,10,10000,7,4,17
148,2026-02-16T01:19:45.342710,34.579833038151264,,,8.238833863288164,4.1015001479536295,10,12.340334011241794,,10.897416854277253,5.219582933932543,10,16.116999788209796,16,,6.1182500794529915,10,10000,8,4,17
149,2026-02-16T01:19:45.387378,33.31124992109835,,,8.105749962851405,3.4954999573528767,10,11.601249920204282,,8.962125051766634,5.754457786679268,10,14.716582838445902,16,,6.987582892179489,10,10000,9,4,17
150,2026-02-16T01:19:45.431414,32.28383301757276,,,7.408333010971546,3.4724578727036715,10,10.880790883675218,,8.655834011733532,5.4879579693078995,10,14.143791981041431,16,,7.25433393381536,10,10000,10,4,17
151,2026-02-16T01:19:45.476381,33.05483306758106,,,6.653666961938143,4.584666108712554,10,11.238333070650697,,10.200040880590677,4.948416957631707,10,15.148457838222384,16,,6.663875188678503,10,10000,11,4,17
152,2026-02-16T01:19:45.521694,34.0876248665154,,,8.341458858922124,3.5639170091599226,10,11.905375868082047,,9.31354216299951,5.632708081975579,10,14.94625024497509,16,,7.231707917526364,10,10000,12,4,17
