execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
71,2026-02-16T01:15:06.491947,30.083957826718688,,128,,True,,7.582749938592315,6.1716248746961355,1,13.75437481328845,,22.501207888126373,7.816958008334041,1,30.318165896460414,2,16,PHASE_COMPETITION,10000,11,128,2,16,10000
72,2026-02-16T01:15:06.537204,20.161832915619016,,128,,True,,10.93441597186029,7.004250073805451,1,17.93866604566574,,9.227416943758726,7.762458873912692,1,16.989875817671418,2,16,PHASE_COMPETITION,10000,12,128,2,16,10000
73,2026-02-16T01:15:06.577249,16.121499938890338,,128,,True,,7.829166948795319,6.148250075057149,1,13.977417023852468,,8.29233299009502,7.79512501321733,1,16.08745800331235,2,16,PHASE_COMPETITION,10000,13,128,2,16,10000
74,2026-02-16T01:15:06.619109,17.707332968711853,,128,,True,,8.408207911998034,6.671624956652522,1,15.079832868650556,,9.29912505671382,8.028750075027347,1,17.327875131741166,2,16,PHASE_COMPETITION,10000,14,128,2,16,10000
75,2026-02-16T01:15:06.659887,16.078040935099125,,128,,True,,7.523833075538278,6.0993339866399765,1,13.623167062178254,,8.554207859560847,7.5963749550282955,1,16.150582814589143,2,16,PHASE_COMPETITION,10000,15,128,2,16,10000
76,2026-02-16T01:15:06.701000,16.382374800741673,,128,,True,,7.354541914537549,6.714208982884884,1,14.068750897422433,,9.027832886204123,8.67616687901318,1,17.703999765217304,2,16,PHASE_COMPETITION,10000,16,128,2,16,10000
77,2026-02-16T01:15:06.741429,16.45079185254872,,128,,True,,7.860166952013969,6.341750035062432,1,14.201916987076402,,8.590624900534749,7.676249835640192,1,16.26687473617494,2,16,PHASE_COMPETITION,10000,17,128,2,16,10000
78,2026-02-16T01:15:06.782450,16.416666796430945,,128,,True,,7.701499853283167,7.055375026538968,1,14.756874879822135,,8.715166943147779,8.277625078335404,1,16.992792021483183,2,16,PHASE_COMPETITION,10000,18,128,2,16,10000
79,2026-02-16T01:15:06.823613,16.928582917898893,,128,,True,,8.351957891136408,6.143208127468824,1,14.495166018605232,,8.576625026762486,7.908332860097289,1,16.484957886859775,2,16,PHASE_COMPETITION,10000,19,128,2,16,10000
80,2026-02-16T01:15:06.882131,16.00362593308091,,128,,True,,6.807083962485194,6.301417015492916,1,13.10850097797811,,9.196541970595717,26.38754202052951,1,35.584083991125226,2,16,PHASE_COMPETITION,10000,20,128,2,16,10000
81,2026-02-16T01:15:06.969880,17.10179098881781,,128,,True,,7.8890828881412745,7.124125026166439,1,15.013207914307714,,9.212708100676537,8.411708055064082,1,17.62441615574062,2,32,PHASE_COMPETITION,10000,1,128,2,32,10000
82,2026-02-16T01:15:07.014318,16.225417144596577,,128,,True,,7.719584042206407,7.214042125269771,1,14.933626167476177,,8.50583310239017,9.027666877955198,1,17.53349998034537,2,32,PHASE_COMPETITION,10000,2,128,2,32,10000
83,2026-02-16T01:15:07.059949,17.820165725424886,,128,,True,,8.415707852691412,6.658082827925682,1,15.073790680617094,,9.404457872733474,8.93395789898932,1,18.338415771722794,2,32,PHASE_COMPETITION,10000,3,128,2,32,10000
84,2026-02-16T01:15:07.106743,18.826124724000692,,128,,True,,9.692749939858913,7.915708934888244,1,17.608458874747157,,9.133374784141779,8.927708026021719,1,18.061082810163498,2,32,PHASE_COMPETITION,10000,4,128,2,32,10000
85,2026-02-16T01:15:07.150645,16.66804193519056,,128,,True,,7.875833893194795,7.432542042806745,1,15.30837593600154,,8.792208041995764,9.2011250089854,1,17.993333050981164,2,32,PHASE_COMPETITION,10000,5,128,2,32,10000
86,2026-02-16T01:15:07.194768,16.916623804718256,,128,,True,,8.220790885388851,7.6303749810904264,1,15.851165866479278,,8.695832919329405,8.409041911363602,1,17.104874830693007,2,32,PHASE_COMPETITION,10000,6,128,2,32,10000
87,2026-02-16T01:15:07.239580,17.40749995224178,,128,,True,,8.056625025346875,6.654249969869852,1,14.710874995216727,,9.350874926894903,8.95008398219943,1,18.300958909094334,2,32,PHASE_COMPETITION,10000,7,128,2,32,10000
88,2026-02-16T01:15:07.300462,16.256416914984584,,128,,True,,7.917041890323162,7.249665912240744,1,15.166707802563906,,8.339375024661422,25.093584088608623,1,33.432959113270044,2,32,PHASE_COMPETITION,10000,8,128,2,32,10000
89,2026-02-16T01:15:07.346135,17.077292082831264,,128,,True,,8.560416987165809,7.2283330373466015,1,15.78875002451241,,8.516875095665455,9.57612507045269,1,18.093000166118145,2,32,PHASE_COMPETITION,10000,9,128,2,32,10000
90,2026-02-16T01:15:07.391428,17.10470882244408,,128,,True,,8.179249940440059,7.085499819368124,1,15.264749759808183,,8.925458882004023,8.503167191520333,1,17.428626073524356,2,32,PHASE_COMPETITION,10000,10,128,2,32,10000
91,2026-02-16T01:15:07.437299,18.300499999895692,,128,,True,,8.857500040903687,7.681084098294377,1,16.538584139198065,,9.442999958992004,9.199958061799407,1,18.64295802079141,2,32,PHASE_COMPETITION,10000,11,128,2,32,10000
92,2026-02-16T01:15:07.480937,16.14095806144178,,128,,True,,7.622375153005123,7.6044169254601,1,15.226792078465223,,8.518582908436656,8.601624984294176,1,17.120207892730832,2,32,PHASE_COMPETITION,10000,12,128,2,32,10000
93,2026-02-16T01:15:07.525618,17.113124951720238,,128,,True,,8.11687484383583,6.701917154714465,1,14.818791998550296,,8.996250107884407,8.895667036995292,1,17.8919171448797,2,32,PHASE_COMPETITION,10000,13,128,2,32,10000
94,2026-02-16T01:15:07.570243,16.70241728425026,,128,,True,,8.080000057816505,6.7321250680834055,1,14.812125125899911,,8.622417226433754,9.09233302809298,1,17.714750254526734,2,32,PHASE_COMPETITION,10000,14,128,2,32,10000
95,2026-02-16T01:15:07.615142,17.32524996623397,,128,,True,,8.406999986618757,7.395624881610274,1,15.802624868229032,,8.918249979615211,9.275666903704405,1,18.193916883319616,2,32,PHASE_COMPETITION,10000,15,128,2,32,10000
96,2026-02-16T01:15:07.679013,17.498001223430037,,128,,True,,8.699792204424739,7.075958186760545,1,15.775750391185284,,8.798209019005299,27.660208055749536,1,36.458417074754834,2,32,PHASE_COMPETITION,10000,16,128,2,32,10000
97,2026-02-16T01:15:07.725462,19.08045820891857,,128,,True,,9.433708153665066,7.1496248710900545,1,16.58333302475512,,9.646750055253506,8.775125024840236,1,18.42187508009374,2,32,PHASE_COMPETITION,10000,17,128,2,32,10000
98,2026-02-16T01:15:07.767912,16.0206260625273,,128,,True,,7.479459047317505,7.103458978235722,1,14.582918025553226,,8.541167015209794,8.542458061128855,1,17.08362507633865,2,32,PHASE_COMPETITION,10000,18,128,2,32,10000
