execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
47,2026-02-03T22:00:03.738288,1272.2682487219572,,,True,,65.88991708122194,3.6912078503519297,175,69.58112493157387,,158.17354107275605,9.589040884748101,175,167.76258195750415,,75.51499991677701,175,75.51499991677701,,True,,True,,175,904.7706660348922,,,True,,175,8425.41337502189,175,959.4095419161022,q09,9,1.0
48,2026-02-03T22:00:05.951328,772.8129161987454,,,True,,43.424082919955254,5.997333209961653,20,49.421416129916906,,89.63566599413753,7.01175001449883,20,96.64741600863636,,40.24449991993606,20,40.24449991993606,,True,,True,,20,553.4498749766499,,,True,,20,875.2331249415874,20,586.499584140256,q10,10,1.0
49,2026-02-03T22:00:07.920530,701.4165001455694,,,True,,177.0535830873996,3.3856669906526804,2,180.43925007805228,,49.51866599731147,11.862041894346476,2,61.38070789165795,,20.391334081068635,2,20.391334081068635,,True,,True,,2,415.0690839160234,,,True,,2,839.833915932104,2,439.2052080947906,q12,12,1.0
50,2026-02-03T22:00:09.087334,359.3464163132012,,,True,,18.53279210627079,2.239166060462594,1,20.771958166733384,,36.0921670217067,5.003332858905196,1,41.0954998806119,,19.492708146572113,1,19.492708146572113,,True,,True,,1,253.20458295755088,,,True,,1,544.1156250890344,1,277.9862501192838,q14,14,1.0
51,2026-02-03T22:00:32.574797,6381.328125949949,,,True,,83.3129168022424,6.692416965961456,57,90.00533376820385,,122.79395898804069,7.589833112433553,57,130.38379210047424,,86.95787494070828,57,86.95787494070828,,True,,True,,57,7363.913499983028,,,True,,57,9729.236999992281,57,6073.981125140563,q18,18,1.0
52,2026-02-03T22:00:34.207532,550.8423750288785,,,True,,25.023458059877157,5.113374907523394,1,30.13683296740055,,62.64479109086096,8.175041992217302,1,70.81983308307827,,59.72879193723202,1,59.72879193723202,,True,,True,,1,331.6290001384914,,,True,,1,734.4293328933418,1,390.1569170411676,q19,19,1.0
53,2026-02-03T22:00:41.724373,1595.1312500983477,,,True,,41.73833318054676,2.801791997626424,4,44.540125178173184,,131.31237495690584,7.3485830798745155,4,138.66095803678036,,40.0048338342458,4,40.0048338342458,,True,,True,,4,1283.4343339782208,,,True,,4,4628.586541861296,4,1371.9253330491483,q01,1,1.0
54,2026-02-03T22:00:43.607439,558.100416790694,,,True,,15.223708003759384,3.7082917988300323,10,18.931999802589417,,26.51741704903543,5.63879101537168,10,32.15620806440711,,18.218833953142166,10,18.218833953142166,,True,,True,,10,459.3225421849638,,,True,,10,854.7332091256976,10,488.7933749705553,q03,3,1.0
55,2026-02-03T22:00:52.635620,1103.7336247973144,,,True,,99.72875006496906,4.5472499914467335,5,104.2760000564158,,223.0525000486523,4.231832921504974,5,227.28433297015727,,28.012124821543694,5,28.012124821543694,,True,,True,,5,3479.0833338629454,,,True,,5,4431.403291178867,5,744.1611669491976,q04,4,1.0
56,2026-02-03T22:00:54.006773,546.8682488426566,,,True,,19.1404998768121,3.6231251433491707,5,22.76362502016127,,31.457250006496906,5.642916075885296,5,37.1001660823822,,24.43837490864098,5,24.43837490864098,,True,,True,,5,259.3060829676688,,,True,,5,550.699665909633,5,462.56608283147216,q05,5,1.0
57,2026-02-03T22:00:55.160503,332.29150250554085,,,True,,6.479833973571658,1.8414589576423168,1,8.321292931213975,,12.841584160923958,3.6369161680340767,1,16.478500328958035,,10.373667115345597,1,10.373667115345597,,True,,True,,1,257.80570902861655,,,True,,1,552.2704171016812,1,297.11804213002324,q06,6,1.0
58,2026-02-03T22:00:56.630756,463.4987902827561,,,True,,23.58208317309618,5.217083031311631,4,28.79916620440781,,40.47383298166096,13.887625187635422,4,54.361458169296384,,25.34320787526667,4,25.34320787526667,,True,,True,,4,351.6197497956455,,,True,,4,644.3987500388175,4,354.9949580337852,q07,7,1.0
59,2026-02-03T22:00:57.936061,426.2983752414584,,,True,,21.29245805554092,4.874625010415912,2,26.16708306595683,,39.92666699923575,11.023417115211487,2,50.950084114447236,,27.494082925841212,2,27.494082925841212,,True,,True,,2,285.2097498252988,,,True,,2,583.2800839561969,2,321.68712513521314,q08,8,1.0
60,2026-02-03T22:01:08.884721,1710.450375918299,,,True,,106.82704113423824,3.355042077600956,175,110.1820832118392,,239.98879198916256,8.659291779622436,175,248.648083768785,,178.16704185679555,175,178.16704185679555,,True,,True,,175,783.9954169467092,,,True,,175,8439.57162508741,175,1173.4531670808792,q09,9,1.0
61,2026-02-03T22:01:11.319204,1036.6137097589672,,,True,,45.572959119454026,6.800249917432666,20,52.37320903688669,,73.71783396229148,10.053624864667654,20,83.77145882695913,,72.14520801790059,20,72.14520801790059,,True,,True,,20,509.03874984942377,,,True,,20,876.7092500347644,20,828.3238338772207,q10,10,1.0
62,2026-02-03T22:01:13.095137,502.93462513945997,,,True,,17.078374978154898,2.7739580255001783,2,19.852333003655076,,33.360542031005025,6.850042147561908,2,40.21058417856693,,22.521458100527525,2,22.521458100527525,,True,,True,,2,418.42866595834494,,,True,,2,844.2427918780595,2,420.35024985671043,q12,12,1.0
63,2026-02-03T22:01:14.268614,356.11545969732106,,,True,,16.87820884399116,2.706625033169985,1,19.584833877161145,,24.669499834999442,4.6356250531971455,1,29.305124888196588,,19.2566670011729,1,19.2566670011729,,True,,True,,1,271.1684589739889,,,True,,1,536.6165838204324,1,287.9688339307904,q14,14,1.0
64,2026-02-03T22:01:38.262182,7518.394665792584,,,True,,78.67637486197054,6.604958092793822,57,85.28133295476437,,283.68566697463393,6.836915854364634,57,290.52258282899857,,67.27012502960861,57,67.27012502960861,,True,,True,,57,6833.277791040018,,,True,,57,9628.310666885227,57,7075.320624979213,q18,18,1.0
65,2026-02-03T22:01:39.851646,466.0507501102984,,,True,,27.5279579218477,5.156917031854391,1,32.68487495370209,,46.50595807470381,9.33174998499453,1,55.83770805969834,,36.167042097076774,1,36.167042097076774,,True,,True,,1,344.9591249227524,,,True,,1,762.1072919573635,1,341.3611249998212,q19,19,1.0
