execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms
31,2026-02-09T20:03:12.226399,32.84545917995274,,,True,,6.876917090266943,1.0785420890897512,1,7.955459179356694,,13.429583050310612,2.5188750587403774,1,15.94845810905099,,6.5650418400764465,1,6.5650418400764465,q06,6,1.0,,True,,True,,1,3.375957952812314,,,True,,1,3.1429999507963657,1,2.3765000514686108,,True,,True,,1,280.48437484540045,,,True,,1,615.2745839208364,1,298.8517920020968,,True,,True,,1,493.055708007887,,,True,,1,824.0662908647209,1,399.78599990718067
32,2026-02-09T20:03:12.644709,381.74020731821656,,,True,,59.744666097685695,3.0387500301003456,4,62.78341612778604,,232.09362500347197,7.761707995086908,4,239.85533299855888,,56.073417188599706,4,56.073417188599706,q07,7,1.0,,True,,True,,4,6.910000229254365,,,True,,4,17.88791688159108,4,23.028041003271937,,True,,True,,4,467.0437909662723,,,True,,4,950.0158340670168,4,938.8433748390526,,True,,True,,4,619.3328751251101,,,True,,4,1708.055041031912,4,638.7908339966089
33,2026-02-09T20:03:12.890458,172.3851638380438,,,True,,24.920583004131913,2.3175408132374287,2,27.238123817369345,,80.38666588254273,8.110041031613946,2,88.49670691415668,,22.029333049431443,2,22.029333049431443,q08,8,1.0,,True,,True,,2,23.902707966044545,,,True,,2,39.18720781803131,2,34.62100005708635,,True,,True,,2,666.089333826676,,,True,,2,850.8769168984145,2,677.0163329783827,,True,,True,,2,604.7914999071509,,,True,,2,1202.025790931657,2,541.6302501689643
34,2026-02-09T20:04:04.100178,51119.775749975815,,,True,,54.7673748806119,1.86870782636106,175,56.63608270697296,,50814.9300001096,5.373500054702163,175,50820.3035001643,,62.24337499588728,175,62.24337499588728,q09,9,1.0,,True,,True,,175,24.82895809225738,,,True,,175,47.35195799730718,175,180.59279210865495,,True,,True,,175,826.2487498577684,,,True,,175,6525.859666988254,175,3133.6877499707043,,True,,True,,175,616.4221249055117,,,True,,175,20589.21904093586,175,1563.856957945973
35,2026-02-09T20:04:04.425721,269.21500032767653,,,True,,59.6473750192672,8.902708999812603,20,68.5500840190798,,84.33362515643239,6.844625109806657,20,91.17825026623905,,71.00933301262558,20,71.00933301262558,q10,10,1.0,,True,,True,,20,17.314375145360827,,,True,,20,21.54412493109703,20,38.47733302973211,,True,,True,,20,422.85616719163954,,,True,,20,709.4402499496937,20,659.0778338722885,,True,,True,,20,1277.1797920577228,,,True,,20,2098.729666089639,20,1434.4498328864574
36,2026-02-09T20:04:04.545803,93.117541866377,,,True,,19.240542082116008,1.968208001926541,2,21.20875008404255,,33.32791686989367,4.09420789219439,2,37.42212476208806,,20.499834092333913,2,20.499834092333913,q12,12,1.0,,True,,True,,2,5.472416989505291,,,True,,2,10.676166042685509,2,13.986832927912474,,True,,True,,2,342.0214580837637,,,True,,2,741.9025420676917,2,350.2456669230014,,True,,True,,2,644.1659170668572,,,True,,2,1134.1489169280976,2,829.3486249167472
37,2026-02-09T20:04:04.623619,58.39429306797683,,,True,,13.371750013902783,2.5076251477003098,1,15.879375161603091,,22.197166923433542,2.7271669823676348,1,24.924333905801177,,13.718375004827976,1,13.718375004827976,q14,14,1.0,,True,,True,,1,3.6871659103780985,,,True,,1,5.824290914461017,1,3.872208995744586,,True,,True,,1,218.59099995344877,,,True,,1,445.57745894417167,1,235.94849999062717,,True,,True,,1,426.1880409903824,,,True,,1,789.3833748530596,1,487.628041068092
38,2026-02-09T20:04:05.153818,445.9043741226196,,,True,,138.62808304838836,3.950041951611638,57,142.578125,,140.53616719320416,7.656665984541178,57,148.19283317774534,,98.76129101030529,57,98.76129101030529,q18,18,1.0,,True,,True,,57,43.03500009700656,,,True,,57,30.052791815251112,57,56.372124934569,,True,,True,,57,4565.696292091161,,,True,,57,6481.144957942888,57,4146.773457992822,,True,,True,,57,948.533833026886,,,True,,57,2074.669708032161,57,942.0155419502408
39,2026-02-09T20:04:05.291926,114.14912482723594,,,True,,25.564457988366485,3.0668750405311584,1,28.631333028897643,,42.240333976224065,6.155333016067743,1,48.39566699229181,,28.379916911944747,1,28.379916911944747,q19,19,1.0,,True,,True,,1,3.5902918316423893,,,True,,1,7.907207822427154,1,8.742207894101739,,True,,True,,1,241.80187517777085,,,True,,1,536.6565410513431,1,233.59187482856217,,True,,True,,1,535.6303330045193,,,True,,1,859.0392079204321,1,459.5417499076575
40,2026-02-09T20:04:05.741985,307.6733748894185,,,True,,55.929374881088734,2.2230830509215593,4,58.15245793201029,,136.67479204013944,3.7937499582767487,4,140.4685419984162,,50.95866695046425,4,50.95866695046425,q01,1,1.0,,True,,True,,4,81.537667196244,,,True,,4,50.92574981972575,4,58.09370800852776,,True,,True,,4,1134.320207871497,,,True,,4,3752.231374848634,4,1131.1534580308944,,True,,True,,4,540.8277919050306,,,True,,4,1225.1109590288252,4,516.8314999900758
