execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
25,2026-02-14T13:13:32.455099,196.86691602692008,,,True,,49.24075002782047,4.8229999374598265,57,54.063749965280294,,92.74291689507663,5.070916144177318,57,97.81383303925395,,44.989333022385836,57,44.989333022385836,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q18,18,1.0
26,2026-02-14T13:13:32.649642,157.96066587790847,,,True,,28.56400003656745,3.8791659753769636,1,32.44316601194441,,49.35474996455014,7.718374952673912,1,57.07312491722405,,28.382499935105443,1,28.382499935105443,35.03425000235438,,5.027625011280179,6.545750191435218,1,40.06187501363456,40.06187501363456,q19,19,1.0
27,2026-02-14T13:13:33.603851,922.4987085908651,,,True,,32.18437498435378,1.9911658018827438,4,34.175540786236525,,105.06508406251669,5.243916995823383,4,110.30900105834007,,31.805874779820442,4,31.805874779820442,117.35299997963011,,628.855291986838,3.882375080138445,4,746.2082919664681,746.2082919664681,q01,1,1.0
28,2026-02-14T13:13:33.730565,95.1979998499155,,,True,,19.43370816297829,3.749665804207325,10,23.183373967185616,,21.39766700565815,5.145584000274539,10,26.54325100593269,,16.625041840597987,10,16.625041840597987,24.116083048284054,,4.730249987915158,3.3485840540379286,10,28.846333036199212,28.846333036199212,q03,3,1.0
29,2026-02-14T13:13:33.918261,183.86629060842097,,,True,,50.879166927188635,2.7115829288959503,5,53.590749856084585,,108.8513748254627,2.867290982976556,5,111.71866580843925,,18.556874943897128,5,18.556874943897128,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
30,2026-02-14T13:13:34.071631,121.25329091213644,,,True,,21.054500015452504,2.280374988913536,5,23.33487500436604,,36.28062503412366,6.045458139851689,5,42.32608317397535,,19.898499827831984,5,19.898499827831984,22.84524985589087,,12.848583050072193,3.789082868024707,5,35.69383290596306,35.69383290596306,q05,5,1.0
31,2026-02-14T13:13:34.153299,54.19249972328544,,,True,,5.7351249270141125,1.6580000519752502,1,7.393124978989363,,12.286082841455936,2.4002499412745237,1,14.68633278273046,,5.005375016480684,1,5.005375016480684,6.9786671083420515,,20.128999836742878,2.1408749744296074,1,27.10766694508493,27.10766694508493,q06,6,1.0
32,2026-02-14T13:13:34.517914,328.81295937113464,,,True,,22.775541059672832,3.460334148257971,4,26.235875207930803,,229.8954171128571,10.24925010278821,4,240.1446672156453,,20.58249991387129,4,20.58249991387129,28.69675005786121,,13.153166975826025,7.43012479506433,4,41.849917033687234,41.849917033687234,q07,7,1.0
33,2026-02-14T13:13:34.715734,162.11058315820992,,,True,,25.335707934573293,3.1245420686900616,2,28.460250003263354,,72.5747081451118,9.403459029272199,2,81.978167174384,,20.004207966849208,2,20.004207966849208,24.40616604872048,,7.261791964992881,5.8241658844053745,2,31.66795801371336,31.66795801371336,q08,8,1.0
34,2026-02-14T13:14:12.563227,37776.409667683765,,,True,,53.79570904187858,2.496749861165881,175,56.29245890304446,,37378.524916945025,8.544374955818057,175,37387.06929190084,,49.61316706612706,175,49.61316706612706,219.3386668805033,,64.09608293324709,7.717292057350278,175,283.4347498137504,283.4347498137504,q09,9,1.0
35,2026-02-14T13:14:13.007764,389.13858449086547,,,True,,61.19125010445714,11.461667018011212,20,72.65291712246835,,96.67466697283089,11.128165991976857,20,107.80283296480775,,95.35895916633308,20,95.35895916633308,104.73395814187825,,8.589917095378041,6.105583161115646,20,113.32387523725629,113.32387523725629,q10,10,1.0
36,2026-02-14T13:14:13.238489,176.39774922281504,,,True,,26.203999994322658,3.5557919181883335,2,29.75979191251099,,46.537666115909815,8.775792084634304,2,55.31345820054412,,29.22191610559821,2,29.22191610559821,38.688415894284844,,23.41416710987687,6.700374884530902,2,62.102583004161716,62.102583004161716,q12,12,1.0
37,2026-02-14T13:14:13.402890,119.33362623676658,,,True,,21.86562493443489,2.6954589411616325,1,24.561083875596523,,28.318917145952582,5.668708123266697,1,33.98762526921928,,21.740959025919437,1,21.740959025919437,21.796833025291562,,17.247125040739775,4.203457850962877,1,39.04395806603134,39.04395806603134,q14,14,1.0
38,2026-02-14T13:14:13.701472,292.625583242625,,,True,,73.84512503631413,8.018749998882413,57,81.86387503519654,,135.4726660065353,7.6946672052145,57,143.1673332117498,,67.59437499567866,57,67.59437499567866,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q18,18,1.0
39,2026-02-14T13:14:13.997314,242.18858312815428,,,True,,39.825875079259276,5.9408750385046005,1,45.76675011776388,,80.10495803318918,14.923791866749525,1,95.0287498999387,,42.56641608662903,1,42.56641608662903,51.91741697490215,,6.909250048920512,10.526666883379221,1,58.826667023822665,58.826667023822665,q19,19,1.0
40,2026-02-14T13:14:15.503013,1454.5224991161376,,,True,,51.17895803414285,3.548791166394949,4,54.7277492005378,,168.98816684260964,9.381707990542054,4,178.3698748331517,,48.33154194056988,4,48.33154194056988,183.90075000934303,,989.1925831325352,5.3819159511476755,4,1173.0933331418782,1173.0933331418782,q01,1,1.0
41,2026-02-14T13:14:15.674805,128.45283187925816,,,True,,26.214875048026443,6.77412492223084,10,32.98899997025728,,27.314665960147977,6.924249930307269,10,34.238915890455246,,23.429332999512553,10,23.429332999512553,30.206375056877732,,7.589207962155342,5.059499992057681,10,37.795583019033074,37.795583019033074,q03,3,1.0
42,2026-02-14T13:14:15.946614,266.5002909488976,,,True,,70.53150003775954,3.8339998573064804,5,74.36549989506602,,162.3229580000043,5.112166982144117,5,167.4351249821484,,24.69966607168317,5,24.69966607168317,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
43,2026-02-14T13:14:16.165412,169.59204175509512,,,True,,27.013499988242984,3.8819999899715185,5,30.895499978214502,,53.271499928086996,8.476458955556154,5,61.74795888364315,,27.139208978042006,5,27.139208978042006,31.432708026841283,,18.376665888354182,6.599915912374854,5,49.809373915195465,49.809373915195465,q05,5,1.0
44,2026-02-14T13:14:16.283708,73.0946664698422,,,True,,6.9985410664230585,1.8534590490162373,1,8.852000115439296,,14.821291202679276,3.7888330407440662,1,18.610124243423343,,7.060917094349861,1,7.060917094349861,11.159833054989576,,27.41179196164012,2.6745409704744816,1,38.571625016629696,38.571625016629696,q06,6,1.0
45,2026-02-14T13:14:16.783745,450.77554089948535,,,True,,31.14508301950991,6.057957885786891,4,37.2030409052968,,324.3787500541657,15.92758297920227,4,340.306333033368,,25.331166805699468,4,25.331166805699468,31.575541011989117,,16.35945914313197,10.375041980296373,4,47.93500015512109,47.93500015512109,q07,7,1.0
46,2026-02-14T13:14:17.057350,225.41979211382568,,,True,,35.062583861872554,4.638750106096268,2,39.70133396796882,,102.5114580988884,13.961541932076216,2,116.47300003096461,,30.423666117712855,2,30.423666117712855,30.39362491108477,,8.428167086094618,8.18345881998539,2,38.82179199717939,38.82179199717939,q08,8,1.0
47,2026-02-14T13:14:56.841808,39716.465417528525,,,True,,77.8653328306973,4.105791915208101,175,81.9711247459054,,39250.75725000352,11.737124994397163,175,39262.494374997914,,68.75541689805686,175,68.75541689805686,239.21304196119308,,64.03145892545581,11.239541927352548,175,303.2445008866489,303.2445008866489,q09,9,1.0
48,2026-02-14T13:14:57.283379,385.56620804592967,,,True,,61.272291000932455,8.825999917462468,20,70.09829091839492,,93.90220907516778,10.912584140896797,20,104.81479321606457,,94.0521250013262,20,94.0521250013262,104.15404080413282,,12.446958106011152,7.70387495867908,20,116.60099891014397,116.60099891014397,q10,10,1.0
49,2026-02-14T13:14:57.533001,192.6805826369673,,,True,,26.53091703541577,4.313749959692359,2,30.844666995108128,,51.850416930392385,10.112416930496693,2,61.96283386088908,,31.30645793862641,2,31.30645793862641,43.235457967966795,,25.331165874376893,6.504999939352274,2,68.56662384234369,68.56662384234369,q12,12,1.0
50,2026-02-14T13:14:57.706916,124.94579330086708,,,True,,20.640042144805193,2.6704168412834406,1,23.310458986088634,,30.062624951824546,6.919333012774587,1,36.98195796459913,,23.24412507005036,1,23.24412507005036,22.288459120318294,,19.120792159810662,4.165292019024491,1,41.409251280128956,41.409251280128956,q14,14,1.0
51,2026-02-14T13:14:58.018402,305.34674995578825,,,True,,83.61087483353913,8.850125130265951,57,92.46099996380508,,137.7316671423614,7.843832951039076,57,145.57550009340048,,67.3102498985827,57,67.3102498985827,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q18,18,1.0
52,2026-02-14T13:14:58.312823,238.80454199388623,,,True,,39.5589170511812,6.860833149403334,1,46.41975020058453,,75.97308279946446,16.026125056669116,1,91.99920785613358,,42.6110839471221,1,42.6110839471221,50.38362485356629,,7.390875136479735,10.700791841372848,1,57.774499990046024,57.774499990046024,q19,19,1.0
53,2026-02-14T13:14:59.910071,1543.3478746563196,,,True,,63.930624863132834,3.595750080421567,4,67.5263749435544,,171.7862079385668,9.239124832674861,4,181.02533277124166,,48.05929213762283,4,48.05929213762283,178.89149999246,,1067.8453748114407,5.9803330805152655,4,1246.7368748039007,1246.7368748039007,q01,1,1.0
54,2026-02-14T13:15:00.111254,146.14437543787062,,,True,,24.198625003919005,7.66491680406034,10,31.863541807979345,,32.53183281049132,7.157457992434502,10,39.689290802925825,,38.78412488847971,10,38.78412488847971,29.561083996668458,,6.246333941817284,5.317916860803962,10,35.80741793848574,35.80741793848574,q03,3,1.0
55,2026-02-14T13:15:00.459965,342.74862497113645,,,True,,70.55820897221565,4.072958137840033,5,74.63116711005569,,237.16829088516533,4.423375008627772,5,241.5916658937931,,26.52579196728766,5,26.52579196728766,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
56,2026-02-14T13:15:00.681893,172.59508417919278,,,True,,29.55049998126924,3.6880001425743103,5,33.23850012384355,,54.33520907536149,8.673125179484487,5,63.00833425484598,,28.57929188758135,5,28.57929188758135,29.50737508945167,,18.261582823470235,6.277834065258503,5,47.768957912921906,47.768957912921906,q05,5,1.0
57,2026-02-14T13:15:00.802165,74.48191731236875,,,True,,7.73916719481349,1.9163338001817465,1,9.655500994995236,,15.518416184931993,4.07179188914597,1,19.590208074077964,,7.134292041882873,1,7.134292041882873,11.77508314140141,,26.326833060011268,3.062749980017543,1,38.10191620141268,38.10191620141268,q06,6,1.0
58,2026-02-14T13:15:01.292791,443.20116587914526,,,True,,31.62737493403256,5.445250077173114,4,37.07262501120567,,308.8659578934312,17.976999981328845,4,326.84295787476003,,29.334833147004247,4,29.334833147004247,34.1662080027163,,15.78454184345901,10.210667038336396,4,49.95074984617531,49.95074984617531,q07,7,1.0
59,2026-02-14T13:15:01.584878,240.547708934173,,,True,,37.24800003692508,5.098707973957062,2,42.34670801088214,,105.85545795038342,14.551542000845075,2,120.4069999512285,,32.23891695961356,2,32.23891695961356,35.32141703180969,,10.2336669806391,9.937833994626999,2,45.55508401244879,45.55508401244879,q08,8,1.0
60,2026-02-14T13:15:42.887957,41236.12783453427,,,True,,101.50525020435452,3.8940829690545797,175,105.3993331734091,,40758.022208930925,17.92270806618035,175,40775.944916997105,,77.52895820885897,175,77.52895820885897,223.21654204279184,,54.038084112107754,7.548582972958684,175,277.2546261548996,277.2546261548996,q09,9,1.0
61,2026-02-14T13:15:43.298061,358.5783343296498,,,True,,58.20216704159975,10.42900001630187,20,68.63116705790162,,90.66983312368393,11.943042045459151,20,102.61287516914308,,80.30387503094971,20,80.30387503094971,98.24154200032353,,8.788875071331859,6.6533328499644995,20,107.03041707165539,107.03041707165539,q10,10,1.0
62,2026-02-14T13:15:43.516443,170.1219177339226,,,True,,22.850624984130263,3.748334012925625,2,26.598958997055888,,43.80858293734491,10.131709044799209,2,53.94029198214412,,28.231041971594095,2,28.231041971594095,40.04204086959362,,21.30958391353488,6.088542053475976,2,61.3516247831285,61.3516247831285,q12,12,1.0
63,2026-02-14T13:15:43.675889,115.2618310879916,,,True,,18.146750051528215,2.3595409002155066,1,20.506290951743722,,27.22354093566537,5.698290886357427,1,32.921831822022796,,19.979125121608377,1,19.979125121608377,22.68512500450015,,19.16945818811655,3.8766248617321253,1,41.8545831926167,41.8545831926167,q14,14,1.0
64,2026-02-14T13:15:43.958322,276.67720685712993,,,True,,69.07479092478752,7.718999870121479,57,76.793790794909,,131.53595803305507,6.775957997888327,57,138.3119160309434,,61.57150003127754,57,61.57150003127754,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q18,18,1.0
65,2026-02-14T13:15:44.224883,214.7922485601157,,,True,,38.00666704773903,5.647707963362336,1,43.654375011101365,,66.3026669062674,13.276790967211127,1,79.57945787347853,,36.57616698183119,1,36.57616698183119,48.38283290155232,,6.599415792152286,10.050791082903743,1,54.982248693704605,54.982248693704605,q19,19,1.0
