execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,physical_error,physical_rows,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
86,2026-02-03T12:18:44.939469,633.7767918594182,,,True,,999999,216.58262494020164,,999999,213.89979193918407,,1000000,203.29437498003244,skipped_for_multi_policy,0,0.0,1,SELECT,2,3,3,,4,,101,100000,policy_threshold
87,2026-02-03T12:18:47.427457,627.8753748629242,,,True,,999950,213.97170890122652,,999950,213.63754104822874,,999950,200.26612491346896,skipped_for_multi_policy,0,0.0,1,WHERE,2,3,3,,4,,101,100000,policy_threshold
88,2026-02-03T12:19:23.055811,337.5436260830611,,,True,,999900,111.64295906201005,,999900,117.1351671218872,,1000000,108.76549989916384,skipped_for_multi_policy,0,0.0,1,JOIN,2,3,3,1000000,4,,,,join_matches
89,2026-02-03T12:19:58.234760,32.29954093694687,,,True,,10000,6.585292052477598,,10000,18.48141592927277,,10000,7.2328329551965,skipped_for_multi_policy,0,0.0,1,GROUP_BY,2,3,3,,4,10000,,,num_groups
90,2026-02-03T12:20:00.766064,689.0692911110818,,,True,,999999,233.61258301883936,,999999,234.1197500936687,,1000000,221.33695799857378,skipped_for_multi_policy,0,0.0,1,ORDER_BY,2,3,3,,4,,101,100000,policy_threshold
91,2026-02-03T12:20:03.339208,629.1515817865729,,,True,,999999,214.45424994453788,,999999,215.78191593289375,,1000000,198.9154159091413,skipped_for_multi_policy,0,0.0,1,SELECT,3,4,3,,4,,101,100000,policy_threshold
92,2026-02-03T12:20:05.850851,641.3922910578549,,,True,,999950,219.5672078523785,,999950,215.7282920088619,,999950,206.0967911966145,skipped_for_multi_policy,0,0.0,1,WHERE,3,4,3,,4,,101,100000,policy_threshold
93,2026-02-03T12:20:42.801471,340.89325019158423,,,True,,999900,110.9427500050515,,999900,120.213583111763,,1000000,109.73691707476974,skipped_for_multi_policy,0,0.0,1,JOIN,3,4,3,1000000,4,,,,join_matches
94,2026-02-03T12:21:18.808718,30.978624941781163,,,True,,10000,6.59541692584753,,10000,17.27170799858868,,10000,7.111500017344952,skipped_for_multi_policy,0,0.0,1,GROUP_BY,3,4,3,,4,10000,,,num_groups
95,2026-02-03T12:21:21.336755,702.5408751796931,,,True,,999999,235.77470798045397,,999999,246.12166709266603,,1000000,220.6445001065731,skipped_for_multi_policy,0,0.0,1,ORDER_BY,3,4,3,,4,,101,100000,policy_threshold
96,2026-02-03T12:21:23.867105,657.7523748856038,,,True,,999999,242.09954193793237,,999999,215.14808293431997,,1000000,200.50475001335144,skipped_for_multi_policy,0,0.0,1,SELECT,4,5,3,,4,,101,100000,policy_threshold
97,2026-02-03T12:21:26.371768,636.6447908803821,,,True,,999950,215.0560829322785,,999950,216.0820420831442,,999950,205.50666586495936,skipped_for_multi_policy,0,0.0,1,WHERE,4,5,3,,4,,101,100000,policy_threshold
98,2026-02-03T12:22:03.476801,341.7360840830952,,,True,,999900,112.39450005814433,,999900,119.19804196804762,,1000000,110.14354205690324,skipped_for_multi_policy,0,0.0,1,JOIN,4,5,3,1000000,4,,,,join_matches
99,2026-02-03T12:22:39.629203,30.458625871688128,,,True,,10000,7.310166954994202,,10000,16.833791974931955,,10000,6.3146669417619705,skipped_for_multi_policy,0,0.0,1,GROUP_BY,4,5,3,,4,10000,,,num_groups
100,2026-02-03T12:22:42.117795,682.2406251449138,,,True,,999999,230.66150001250207,,999999,229.96750008314848,,1000000,221.61162504926324,skipped_for_multi_policy,0,0.0,1,ORDER_BY,4,5,3,,4,,101,100000,policy_threshold
