execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
34,2026-02-04T21:42:51.749669,169.91595760919154,,,True,,33.94254087470472,2.717041876167059,175,36.65958275087178,,58.12425003387034,4.658499965444207,175,62.78274999931455,,70.47362485900521,175,70.47362485900521,q09,9,1.0
35,2026-02-04T21:42:51.858798,106.00383416749537,,,True,,27.257125126197934,3.7899590097367764,20,31.04708413593471,,42.78541705571115,5.9334998950362206,20,48.71891695074737,,26.23783308081329,20,26.23783308081329,q10,10,1.0
36,2026-02-04T21:42:51.914203,52.33804229646921,,,True,,11.624749982729554,1.8171248957514763,2,13.44187487848103,,23.10241712257266,3.9815842173993587,2,27.08400133997202,,11.812166078016162,2,11.812166078016162,q12,12,1.0
37,2026-02-04T21:42:51.953511,36.248292308300734,,,True,,8.872084086760879,1.430000178515911,1,10.30208426527679,,14.714624965563416,2.7261250652372837,1,17.4407500308007,,8.505458012223244,1,8.505458012223244,q14,14,1.0
38,2026-02-04T21:42:52.101776,145.15445777215064,,,True,,39.454624988138676,4.033959005028009,57,43.488583993166685,,64.84137498773634,3.5574159119278193,57,68.39879089966416,,33.26708287931979,57,33.26708287931979,q18,18,1.0
39,2026-02-04T21:42:52.181018,76.12275099381804,,,True,,17.860291991382837,2.84229195676744,1,20.702583948150277,,31.230624997988343,6.917417049407959,1,38.1480420473963,,17.272124998271465,1,17.272124998271465,q19,19,1.0
40,2026-02-04T21:42:52.308678,124.57187613472342,,,True,,24.886625120416284,1.6832922119647264,4,26.56991733238101,,70.9426668472588,3.878416959196329,4,74.82108380645514,,23.18087499588728,4,23.18087499588728,q01,1,1.0
41,2026-02-04T21:42:52.355612,43.941165087744594,,,True,,12.160707963630557,3.3207081723958254,10,15.481416136026382,,14.151290990412235,3.653082996606827,10,17.804373987019062,,10.65537496469915,10,10.65537496469915,q03,3,1.0
42,2026-02-04T21:42:52.496514,137.9366242326796,,,True,,37.23825002089143,2.2714161314070225,5,39.50966615229845,,82.21033308655024,3.1300000846385956,5,85.34033317118883,,13.086624909192324,5,13.086624909192324,q04,4,1.0
43,2026-02-04T21:42:52.560803,61.08004110865295,,,True,,13.643458019942045,1.7936669755727053,5,15.43712499551475,,27.883125003427267,4.360625054687262,5,32.24375005811453,,13.39916605502367,5,13.39916605502367,q05,5,1.0
44,2026-02-04T21:42:52.584581,20.578125026077032,,,True,,3.794332966208458,1.144292065873742,1,4.9386250320822,,9.288083063438535,2.1319170482456684,1,11.420000111684203,,4.219499882310629,1,4.219499882310629,q06,6,1.0
45,2026-02-04T21:42:52.653552,65.7318327575922,,,True,,15.998916933313012,2.6817908510565758,4,18.680707784369588,,24.248332949355245,6.912667071446776,4,31.16100002080202,,15.890124952420592,4,15.890124952420592,q07,7,1.0
46,2026-02-04T21:42:52.716861,60.191999888047576,,,True,,13.526624999940395,2.3243329487740993,2,15.850957948714495,,24.610541993752122,7.027874933555722,2,31.638416927307844,,12.702625012025237,2,12.702625012025237,q08,8,1.0
47,2026-02-04T21:42:52.849445,129.3373319786042,,,True,,31.954791862517595,1.813374925404787,175,33.76816678792238,,59.52641600742936,4.695291165262461,175,64.22170717269182,,31.347458017989993,175,31.347458017989993,q09,9,1.0
48,2026-02-04T21:42:52.958136,105.44758290052414,,,True,,27.261458802968264,3.753958037123084,20,31.015416840091348,,42.375666089355946,5.220375023782253,20,47.5960411131382,,26.836124947294593,20,26.836124947294593,q10,10,1.0
49,2026-02-04T21:42:53.012563,51.392667228356004,,,True,,11.712125036865473,2.6643751189112663,2,14.37650015577674,,22.295459173619747,3.88587499037385,2,26.181334163993597,,10.834832908585668,2,10.834832908585668,q12,12,1.0
50,2026-02-04T21:42:53.050354,34.75874988362193,,,True,,8.794332854449749,1.433375058695674,1,10.227707913145423,,13.265667017549276,2.7924999594688416,1,16.058166977018118,,8.47287499345839,1,8.47287499345839,q14,14,1.0
51,2026-02-04T21:42:53.190897,137.38904218189418,,,True,,36.82216606102884,3.777999896556139,57,40.60016595758498,,62.17479216866195,3.522499930113554,57,65.6972920987755,,31.0915841255337,57,31.0915841255337,q18,18,1.0
52,2026-02-04T21:42:53.270078,76.11445896327496,,,True,,17.763207899406552,2.8202920220792294,1,20.58349992148578,,31.69166692532599,6.776374997571111,1,38.4680419228971,,17.062917118892074,1,17.062917118892074,q19,19,1.0
53,2026-02-04T21:42:53.404652,131.33974955417216,,,True,,29.01445794850588,1.6403340268880129,4,30.65479197539389,,71.18433294817805,3.9413748309016228,4,75.12570777907968,,25.55924979969859,4,25.55924979969859,q01,1,1.0
54,2026-02-04T21:42:53.449533,41.70204093679786,,,True,,11.199916014447808,3.2027079723775387,10,14.402623986825347,,13.527666917070746,3.7586670368909836,10,17.28633395396173,,10.01308299601078,10,10.01308299601078,q03,3,1.0
55,2026-02-04T21:42:53.586482,133.92720790579915,,,True,,35.52704188041389,2.324166940525174,5,37.851208820939064,,81.97541604749858,2.3957910016179085,5,84.37120704911649,,11.704792035743594,5,11.704792035743594,q04,4,1.0
56,2026-02-04T21:42:53.644932,55.33554335124791,,,True,,12.659041909500957,1.7000420484691858,5,14.359083957970142,,24.712584214285016,4.6247499994933605,5,29.337334213778377,,11.639125179499388,5,11.639125179499388,q05,5,1.0
57,2026-02-04T21:42:53.665909,17.959292279556394,,,True,,3.289167070761323,1.143875066190958,1,4.433042136952281,,8.274167077615857,2.044667024165392,1,10.318834101781249,,3.2074160408228636,1,3.2074160408228636,q06,6,1.0
58,2026-02-04T21:42:53.726945,58.03679069504142,,,True,,13.47566582262516,2.576166996732354,4,16.051832819357514,,22.68358296714723,6.990083027631044,4,29.673665994778275,,12.311291880905628,4,12.311291880905628,q07,7,1.0
59,2026-02-04T21:42:53.791987,61.93091697059572,,,True,,14.12391709163785,2.335249911993742,2,16.459167003631592,,24.71500006504357,6.7504579201340675,2,31.465457985177636,,14.00629198178649,2,14.00629198178649,q08,8,1.0
60,2026-02-04T21:42:53.924591,129.35850117355585,,,True,,33.73225010000169,1.7570420168340206,175,35.48929211683571,,58.13450017012656,4.938291851431131,175,63.07279202155769,,30.79641703516245,175,30.79641703516245,q09,9,1.0
61,2026-02-04T21:42:54.033497,105.69295706227422,,,True,,27.882124995812774,3.790666116401553,20,31.672791112214327,,42.84245800226927,5.203499924391508,20,48.045957926660776,,25.974208023399115,20,25.974208023399115,q10,10,1.0
62,2026-02-04T21:42:54.089669,53.00729093141854,,,True,,11.128999991342425,1.8224997911602259,2,12.951499782502651,,25.462707970291376,3.960333066061139,2,29.423041036352515,,10.632750112563372,2,10.632750112563372,q12,12,1.0
63,2026-02-04T21:42:54.129689,36.949916975572705,,,True,,9.38779185526073,2.084749983623624,1,11.472541838884354,,14.170875074341893,2.8180000372231007,1,16.988875111564994,,8.488500025123358,1,8.488500025123358,q14,14,1.0
64,2026-02-04T21:42:54.272898,140.04087401553988,,,True,,37.67662518657744,3.72879090718925,57,41.40541609376669,,62.25579185411334,3.5836249589920044,57,65.83941681310534,,32.79604110866785,57,32.79604110866785,q18,18,1.0
65,2026-02-04T21:42:54.352645,76.67304202914238,,,True,,18.458249978721142,2.8003749903291464,1,21.258624969050288,,31.35408298112452,6.344416877254844,1,37.698499858379364,,17.715917201712728,1,17.715917201712728,q19,19,1.0
