execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_num,variation_join_count
38,2026-02-15T00:16:06.734749,10.486542014405131,,,True,1.4776671305298805,3.2985410653054714,5,4.776208195835352,4,3.3547088969498873,True,,9.809250012040138,5,13.163958908990026,1.3717080000787973,5,1.3717080000787973,2.9529579915106297,,4.282457986846566,1.3294999953359365,True,,6.671333918347955,5,4.282457986846566,4.282457986846566,10,JOIN_GROUP_BY,3,4
39,2026-02-15T00:16:06.811251,10.688707930967212,,,True,1.477082958444953,3.3190420363098383,5,4.796124994754791,4,3.4977910108864307,True,,9.815250057727098,5,13.31304106861353,1.492791809141636,5,1.492791809141636,3.079625079408288,,4.221042152494192,1.1414170730859041,True,,6.379457889124751,5,4.221042152494192,4.221042152494192,10,JOIN_GROUP_BY,4,4
40,2026-02-15T00:16:06.887192,10.572500759735703,,,True,1.6606668941676617,3.450250020250678,5,5.11091691441834,4,3.1334171071648598,True,,9.417916182428598,5,12.551333289593458,1.405457966029644,5,1.405457966029644,3.175833960995078,,4.372958792373538,1.19712483137846,True,,6.359833991155028,5,4.372958792373538,4.372958792373538,10,JOIN_GROUP_BY,5,4
41,2026-02-15T00:16:07.347633,14.147834153845906,,,True,2.6219170540571213,39.799666963517666,5,42.42158401757479,4,4.5729579869657755,True,,78.3428750000894,5,82.91583298705518,1.616625115275383,5,1.616625115275383,3.052084008231759,,5.3363339975476265,2.2842499893158674,True,,36.7141249589622,5,5.3363339975476265,5.3363339975476265,100,JOIN_GROUP_BY,1,4
42,2026-02-15T00:16:07.811607,14.114459278061986,,,True,2.663792110979557,41.10254114493728,5,43.766333255916834,4,4.561459179967642,True,,61.630625044927,5,66.19208422489464,1.4414999168366194,5,1.4414999168366194,3.0861671548336744,,5.447708070278168,2.3615409154444933,True,,55.55275012739003,5,5.447708070278168,5.447708070278168,100,JOIN_GROUP_BY,2,4
43,2026-02-15T00:16:08.273797,14.395500300452113,,,True,2.8141671791672707,39.839041884988546,5,42.65320906415582,4,4.794166889041662,True,,62.648250022903085,5,67.44241691194475,1.4615000691264868,5,1.4615000691264868,3.105125157162547,,5.3256661631166935,2.2205410059541464,True,,54.572375025600195,5,5.3256661631166935,5.3256661631166935,100,JOIN_GROUP_BY,3,4
44,2026-02-15T00:16:08.719552,13.726249802857637,,,True,2.623707987368107,40.270499885082245,5,42.89420787245035,4,4.310708027333021,True,,62.5299580860883,5,66.84066611342132,1.488666981458664,5,1.488666981458664,3.038333961740136,,5.3031668066978455,2.2648328449577093,True,,38.37220789864659,5,5.3031668066978455,5.3031668066978455,100,JOIN_GROUP_BY,4,4
45,2026-02-15T00:16:09.188207,14.242333360016346,,,True,2.878875005990267,40.52974982187152,5,43.408624827861786,4,4.326708149164915,True,,60.696457978338,5,65.02316612750292,1.4720421750098467,5,1.4720421750098467,3.4051670227199793,,5.564708029851317,2.159541007131338,True,,37.737458012998104,5,5.564708029851317,5.564708029851317,100,JOIN_GROUP_BY,5,4
46,2026-02-15T00:16:09.436561,123.9288339857012,,,True,22.4460840690881,2.082791877910495,5,24.528875946998596,8,48.27741696499288,True,,6.281042005866766,5,54.55845897085965,22.44220790453255,5,22.44220790453255,29.78729084134102,,30.76312504708767,0.9758342057466507,True,,4.334416007623076,5,30.76312504708767,30.76312504708767,1,JOIN_GROUP_BY,1,8
47,2026-02-15T00:16:09.605790,118.4320009779185,,,True,22.502583917230368,2.067167079076171,5,24.56975099630654,8,48.05287509225309,True,,23.278375156223774,5,71.33125024847686,22.698708111420274,5,22.698708111420274,24.234999902546406,,25.177833857014775,0.9428339544683695,True,,4.325957968831062,5,25.177833857014775,25.177833857014775,1,JOIN_GROUP_BY,2,8
48,2026-02-15T00:16:09.757739,118.08662512339652,,,True,22.139959037303925,2.0281251054257154,5,24.16808414272964,8,46.957666985690594,True,,6.243250099942088,5,53.20091708563268,22.928165970370173,5,22.928165970370173,25.077875005081296,,26.060833130031824,0.9829581249505281,True,,4.802791867405176,5,26.060833130031824,26.060833130031824,1,JOIN_GROUP_BY,3,8
49,2026-02-15T00:16:09.909182,117.73324874229729,,,True,22.458041086792946,2.0732921548187733,5,24.53133324161172,8,47.85562492907047,True,,6.302832858636975,5,54.15845778770745,22.3854158539325,5,22.3854158539325,24.018957978114486,,25.034166872501373,1.0152088943868876,True,,4.271958023309708,5,25.034166872501373,25.034166872501373,1,JOIN_GROUP_BY,4,8
50,2026-02-15T00:16:10.061885,118.3749579358846,,,True,22.383749950677156,1.993665937334299,5,24.377415888011456,8,48.19545801728964,True,,6.560625042766333,5,54.75608306005597,22.537000011652708,5,22.537000011652708,23.94929202273488,,25.258749956265092,1.3094579335302114,True,,4.373917123302817,5,25.258749956265092,25.258749956265092,1,JOIN_GROUP_BY,5,8
51,2026-02-15T00:16:10.252367,118.88041580095887,,,True,22.52437500283122,4.0481670293956995,5,26.57254203222692,8,48.55566588230431,True,,11.678541079163551,5,60.23420696146786,22.36112509854138,5,22.36112509854138,24.102249881252646,,25.43924981728196,1.336999936029315,True,,8.25520814396441,5,25.43924981728196,25.43924981728196,10,JOIN_GROUP_BY,1,8
52,2026-02-15T00:16:10.441639,118.42220788821578,,,True,23.18354183807969,4.066832829266787,5,27.250374667346478,8,47.61245800182223,True,,11.41283311881125,5,59.02529112063348,22.187749855220318,5,22.187749855220318,24.35420802794397,,25.43845819309354,1.0842501651495695,True,,7.816959172487259,5,25.43845819309354,25.43845819309354,10,JOIN_GROUP_BY,2,8
53,2026-02-15T00:16:10.631490,117.95508419163525,,,True,22.68383395858109,4.922833060845733,5,27.606667019426823,8,47.62162500992417,True,,11.445875046774745,5,59.06750005669892,22.291166940703988,5,22.291166940703988,23.98658310994506,,25.358458282426,1.3718751724809408,True,,8.150957990437746,5,25.358458282426,25.358458282426,10,JOIN_GROUP_BY,3,8
54,2026-02-15T00:16:10.823929,120.61320920474827,,,True,22.446291986852884,4.033542005345225,5,26.47983399219811,8,48.32612490281463,True,,11.294834082946181,5,59.62095898576081,22.13358413428068,5,22.13358413428068,26.458750013262033,,27.70720818080008,1.2484581675380468,True,,8.423499995842576,5,27.70720818080008,27.70720818080008,10,JOIN_GROUP_BY,4,8
55,2026-02-15T00:16:11.013367,117.58741713128984,,,True,22.197499871253967,4.367833957076073,5,26.56533382833004,8,47.777792206034064,True,,11.322000063955784,5,59.09979226998985,21.738416980952024,5,21.738416980952024,24.566583102568984,,25.873708073049784,1.3071249704807997,True,,8.437874959781766,5,25.873708073049784,25.873708073049784,10,JOIN_GROUP_BY,5,8
56,2026-02-15T00:16:11.591719,122.70475015975535,,,True,23.852332960814238,42.71195805631578,5,66.56429101713002,8,48.93258400261402,True,,80.1853749435395,5,129.11795894615352,22.66295813024044,5,22.66295813024044,24.922790937125683,,27.25687506608665,2.334084128960967,True,,38.542000111192465,5,27.25687506608665,27.25687506608665,100,JOIN_GROUP_BY,1,8
57,2026-02-15T00:16:12.169981,121.73220911063254,,,True,23.295499850064516,43.21225010789931,5,66.50774995796382,8,49.49849983677268,True,,81.0732920654118,5,130.5717919021845,22.38245913758874,5,22.38245913758874,24.150750134140253,,26.555750286206603,2.40500015206635,True,,39.49841600842774,5,26.555750286206603,26.555750286206603,100,JOIN_GROUP_BY,2,8
58,2026-02-15T00:16:12.747369,122.31283402070403,,,True,23.713708156719804,43.484624940901995,5,67.1983330976218,8,49.22433407045901,True,,80.12575004249811,5,129.35008411295712,22.453249897807837,5,22.453249897807837,24.20279197394848,,26.921541895717382,2.7187499217689037,True,,40.38983304053545,5,26.921541895717382,26.921541895717382,100,JOIN_GROUP_BY,3,8
59,2026-02-15T00:16:13.324675,122.88904096931219,,,True,23.53404089808464,43.01408305764198,5,66.54812395572662,8,49.877499928697944,True,,63.56062483973801,5,113.43812476843596,22.40379201248288,5,22.40379201248288,24.69158312305808,,27.073708130046725,2.3821250069886446,True,,56.54487502761185,5,27.073708130046725,27.073708130046725,100,JOIN_GROUP_BY,4,8
60,2026-02-15T00:16:13.906418,123.29074996523559,,,True,23.60945800319314,43.107874924317,5,66.71733292751014,8,49.83608401380479,True,,63.47804190590978,5,113.31412591971457,22.471915930509567,5,22.471915930509567,24.852958042174578,,27.37329201772809,2.5203339755535126,True,,56.72429199330509,5,27.37329201772809,27.37329201772809,100,JOIN_GROUP_BY,5,8
