execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
28,2026-02-10T09:53:24.683482,92.85150072537363,,,True,,21.857874933630228,3.2782498747110367,10,25.136124808341265,,30.70224984548986,3.8767920341342688,10,34.57904187962413,,24.6117920614779,10,24.6117920614779,q03,3,1.0,,True,,True,,10,7.180709159001708,,,True,,10,8.855334017425776,10,8.524541975930333
29,2026-02-10T09:53:25.029942,212.3954170383513,,,True,,48.07287501171231,2.3248749785125256,5,50.39774999022484,,119.14291698485613,2.397499978542328,5,121.54041696339846,,20.314499968662858,5,20.314499968662858,q04,4,1.0,,True,,True,,5,8.889040909707546,,,True,,5,114.67324988916516,5,20.142750116065145
30,2026-02-10T09:53:25.180901,118.82962402887642,,,True,,25.794249959290028,1.8115830607712269,5,27.605833020061255,,53.9945000782609,4.109707893803716,5,58.104207972064614,,25.665458058938384,5,25.665458058938384,q05,5,1.0,,True,,True,,5,6.339416839182377,,,True,,5,14.914541970938444,5,7.454124977812171
31,2026-02-10T09:53:25.241712,44.13879103958607,,,True,,6.675583077594638,1.2002501171082258,1,7.875833194702864,,15.749583020806313,2.4974169209599495,1,18.246999941766262,,15.05529205314815,1,15.05529205314815,q06,6,1.0,,True,,True,,1,2.2242919076234102,,,True,,1,3.3687909599393606,1,2.960665849968791
32,2026-02-10T09:53:25.675874,393.72312277555466,,,True,,61.64887500926852,3.1135419849306345,4,64.76241699419916,,238.91141591593623,8.304707938805223,4,247.21612385474145,,56.81704101152718,4,56.81704101152718,q07,7,1.0,,True,,True,,4,8.881957968696952,,,True,,4,21.128499880433083,4,24.927540915086865
33,2026-02-10T09:53:25.936001,183.65404242649674,,,True,,29.244625009596348,2.3264591582119465,2,31.571084167808294,,87.71504205651581,7.858833065256476,2,95.57387512177229,,27.5626671500504,2,27.5626671500504,q08,8,1.0,,True,,True,,2,25.91558312997222,,,True,,2,40.84504093043506,2,28.94641598686576
34,2026-02-10T09:54:02.593728,36564.229290001094,,,True,,57.80979082919657,2.1181670017540455,175,59.92795783095062,,36220.468416111544,5.302082980051637,175,36225.770499091595,,62.26141704246402,175,62.26141704246402,q09,9,1.0,,True,,True,,175,26.388457976281643,,,True,,175,49.86599995754659,175,216.2694160360843
35,2026-02-10T09:54:03.003713,342.1608761418611,,,True,,65.99408388137817,12.473125010728836,20,78.46720889210701,,97.64012508094311,8.81108408793807,20,106.45120916888118,,102.70783305168152,20,102.70783305168152,q10,10,1.0,,True,,True,,20,13.998875161632895,,,True,,20,21.792041836306453,20,54.534625029191375
36,2026-02-10T09:54:03.159280,128.24845733121037,,,True,,21.502833114936948,2.781167160719633,2,24.28400027565658,,36.33933304809034,4.228000063449144,2,40.56733311153948,,33.32808311097324,2,33.32808311097324,q12,12,1.0,,True,,True,,2,5.4079999681562185,,,True,,2,9.348833002150059,2,30.069040833041072
37,2026-02-10T09:54:03.241351,59.56558254547417,,,True,,13.52174999192357,2.1611670963466167,1,15.682917088270187,,22.446416085585952,2.8452500700950623,1,25.291666155681014,,14.068083139136434,1,14.068083139136434,q14,14,1.0,,True,,True,,1,6.611542077735066,,,True,,1,4.299416905269027,1,4.522916162386537
38,2026-02-10T09:54:03.649640,333.7387922219932,,,True,,51.02275009267032,3.9098751731216908,57,54.93262526579201,,132.42879207246006,3.782500047236681,57,136.21129211969674,,95.76274990104139,57,95.76274990104139,q18,18,1.0,,True,,True,,57,35.62804195098579,,,True,,57,28.219499858096242,57,46.83212493546307
39,2026-02-10T09:54:03.773165,103.70866465382278,,,True,,21.47145802155137,2.8013328555971384,1,24.27279087714851,,40.75699998065829,6.617457838729024,1,47.37445781938732,,24.039790965616703,1,24.039790965616703,q19,19,1.0,,True,,True,,1,3.8564580027014017,,,True,,1,6.087666843086481,1,8.021624991670251
40,2026-02-10T09:54:04.120285,264.9432900361717,,,True,,49.354166025295854,2.2402501199394464,4,51.5944161452353,,115.70866592228413,4.2146670166403055,4,119.92333293892443,,48.121208092197776,4,48.121208092197776,q01,1,1.0,,True,,True,,4,33.71470817364752,,,True,,4,37.956166081130505,4,45.30433285981417
41,2026-02-10T09:54:04.245577,96.44779050722718,,,True,,23.928582901135087,3.508874913677573,10,27.43745781481266,,35.12704186141491,3.7836660631000996,10,38.91070792451501,,21.498415851965547,10,21.498415851965547,q03,3,1.0,,True,,True,,10,5.830832989886403,,,True,,10,9.830624796450138,10,8.601208915933967
42,2026-02-10T09:54:04.622455,204.03204206377268,,,True,,45.07345799356699,2.584457863122225,5,47.657915856689215,,115.7032500486821,2.414959017187357,5,118.11820906586945,,19.55999992787838,5,19.55999992787838,q04,4,1.0,,True,,True,,5,7.537165889516473,,,True,,5,155.84145789034665,5,18.695917213335633
43,2026-02-10T09:54:04.769523,111.18200002238154,,,True,,23.566334042698145,2.0174579694867134,5,25.58379201218486,,46.439583180472255,4.290958866477013,5,50.73054204694927,,25.388458045199513,5,25.388458045199513,q05,5,1.0,,True,,True,,5,7.40191712975502,,,True,,5,13.04820878431201,5,9.479207918047905
44,2026-02-10T09:54:04.816636,31.965166563168168,,,True,,6.118749966844916,1.149041811004281,1,7.267791777849197,,13.570916838943958,2.4434998631477356,1,16.014416702091694,,6.1262501403689384,1,6.1262501403689384,q06,6,1.0,,True,,True,,1,2.1675829775631428,,,True,,1,3.0274169985204935,1,2.5567079428583384
45,2026-02-10T09:54:05.234543,376.9952089060098,,,True,,54.705957882106304,2.79000005684793,4,57.495957938954234,,240.05658295936882,8.005291922017932,4,248.06187488138676,,51.678209099918604,4,51.678209099918604,q07,7,1.0,,True,,True,,4,10.765333892777562,,,True,,4,19.72162490710616,4,19.7591669857502
46,2026-02-10T09:54:05.484258,170.60533282347023,,,True,,23.59512518160045,2.487707883119583,2,26.082833064720035,,85.1212500128895,8.041958790272474,2,93.16320880316198,,23.835333064198494,2,23.835333064198494,q08,8,1.0,,True,,True,,2,27.702415827661753,,,True,,2,40.96558294259012,2,27.523957891389728
47,2026-02-10T09:54:39.112601,33536.602415842935,,,True,,54.38966699875891,1.8519170116633177,175,56.24158401042223,,33140.24354098365,5.444125039502978,175,33145.68766602315,,64.34475001879036,175,64.34475001879036,q09,9,1.0,,True,,True,,175,27.03829202800989,,,True,,175,49.44600001908839,175,270.32841579057276
48,2026-02-10T09:54:39.531002,363.7749159242958,,,True,,63.815082889050245,17.75366603396833,20,81.56874892301857,,103.98183297365904,6.200999952852726,20,110.18283292651176,,96.0717920679599,20,96.0717920679599,q10,10,1.0,,True,,True,,20,11.965458048507571,,,True,,20,23.865458089858294,20,75.95154200680554
49,2026-02-10T09:54:39.709265,152.547791833058,,,True,,18.40558391995728,4.211000166833401,2,22.61658408679068,,34.37162493355572,4.323707893490791,2,38.695332827046514,,49.55441690981388,2,49.55441690981388,q12,12,1.0,,True,,True,,2,5.035666981711984,,,True,,2,9.78591712191701,2,41.681458009406924
50,2026-02-10T09:54:39.790519,63.25820810161531,,,True,,13.698959024623036,2.2987499833106995,1,15.997709007933736,,21.456917049363256,3.201332874596119,1,24.658249923959374,,16.102708177641034,1,16.102708177641034,q14,14,1.0,,True,,True,,1,3.153041936457157,,,True,,1,4.800291964784265,1,6.499540992081165
51,2026-02-10T09:54:40.287677,387.4794156290591,,,True,,49.137874972075224,4.487332887947559,57,53.62520786002278,,133.88595799915493,3.6814999766647816,57,137.5674579758197,,96.71999979764223,57,96.71999979764223,q18,18,1.0,,True,,True,,57,68.2434169575572,,,True,,57,29.79700011201203,57,99.56674999557436
52,2026-02-10T09:54:40.424122,114.01579319499433,,,True,,22.813957883045077,2.97866715118289,1,25.792625034227967,,38.39891706593335,6.467875093221664,1,44.86679215915501,,27.042417088523507,1,27.042417088523507,q19,19,1.0,,True,,True,,1,3.4523329231888056,,,True,,1,8.653375087305903,1,16.313958913087845
53,2026-02-10T09:54:40.781724,278.0600842088461,,,True,,50.163250183686614,2.368000103160739,4,52.53125028684735,,120.51062495447695,3.9223749190568924,4,124.43299987353384,,51.57154216431081,4,51.57154216431081,q01,1,1.0,,True,,True,,4,30.657874885946512,,,True,,4,39.01741583831608,4,49.52429188415408
54,2026-02-10T09:54:40.892930,83.61479290761054,,,True,,18.284040968865156,3.465208923444152,10,21.749249892309308,,28.128375066444278,3.7517498712986708,10,31.88012493774295,,18.824083963409066,10,18.824083963409066,q03,3,1.0,,True,,True,,10,6.842874921858311,,,True,,10,8.230875013396144,10,11.161334114149213
55,2026-02-10T09:54:41.278336,203.3243332989514,,,True,,44.86125009134412,2.3382080253213644,5,47.19945811666548,,116.16412503644824,2.4821660481393337,5,118.64629108458757,,17.624834086745977,5,17.624834086745977,q04,4,1.0,,True,,True,,5,7.176457904279232,,,True,,5,165.00333417207003,5,19.853750010952353
56,2026-02-10T09:54:41.420508,105.09154200553894,,,True,,22.898833034560084,2.139332937076688,5,25.038165971636772,,43.46491699106991,4.359500017017126,5,47.82441700808704,,24.127834010869265,5,24.127834010869265,q05,5,1.0,,True,,True,,5,6.586084142327309,,,True,,5,15.073041897267103,5,8.101125014945865
57,2026-02-10T09:54:41.471223,34.706959035247564,,,True,,7.261208025738597,1.1493328493088484,1,8.410540875047445,,14.18966706842184,2.602917142212391,1,16.79258421063423,,7.1686250157654285,1,7.1686250157654285,q06,6,1.0,,True,,True,,1,2.5244581047445536,,,True,,1,3.43300006352365,1,2.335208933800459
58,2026-02-10T09:54:41.873156,361.12508410587907,,,True,,49.88020798191428,2.657625125721097,4,52.53783310763538,,233.77429181709886,7.725083036348224,4,241.49937485344708,,46.8132090754807,4,46.8132090754807,q07,7,1.0,,True,,True,,4,11.475375154986978,,,True,,4,19.93199996650219,4,20.27466706931591
59,2026-02-10T09:54:42.090327,142.62508298270404,,,True,,16.35158294811845,2.5080000050365925,2,18.85958295315504,,68.3046670164913,7.864499930292368,2,76.16916694678366,,17.147749895229936,2,17.147749895229936,q08,8,1.0,,True,,True,,2,24.17358406819403,,,True,,2,40.7770830206573,2,30.448583187535405
60,2026-02-10T09:55:08.233161,26047.24729200825,,,True,,51.74187500961125,1.902374904602766,175,53.644249914214015,,25715.765208005905,5.3896671161055565,175,25721.15487512201,,55.971083929762244,175,55.971083929762244,q09,9,1.0,,True,,True,,175,26.701792143285275,,,True,,175,49.914582865312696,175,216.47708304226398
61,2026-02-10T09:55:08.622622,329.83687496744096,,,True,,62.503417022526264,12.968167196959257,20,75.47158421948552,,88.43412506394088,7.165499962866306,20,95.59962502680719,,106.73104086890817,20,106.73104086890817,q10,10,1.0,,True,,True,,20,15.3695831540972,,,True,,20,16.940792091190815,20,52.034624852240086
62,2026-02-10T09:55:08.751640,101.73841519281268,,,True,,18.13108311034739,1.9924170337617397,2,20.12350014410913,,37.14020806364715,3.971291007474065,2,41.111499071121216,,27.223499957472086,2,27.223499957472086,q12,12,1.0,,True,,True,,2,5.454708123579621,,,True,,2,9.795417077839375,2,13.27991602011025
63,2026-02-10T09:55:08.830204,60.28758245520294,,,True,,14.89658304490149,2.2507079411298037,1,17.147290986031294,,20.79287520609796,2.8227500151842833,1,23.615625221282244,,15.261500142514706,1,15.261500142514706,q14,14,1.0,,True,,True,,1,3.5428330302238464,,,True,,1,4.876415943726897,1,4.263166105374694
64,2026-02-10T09:55:09.258308,345.94816504977643,,,True,,52.01316601596773,3.9354998152703047,57,55.94866583123803,,140.80566610209644,3.713875077664852,57,144.5195411797613,,98.52395812049508,57,98.52395812049508,q18,18,1.0,,True,,True,,57,36.595750134438276,,,True,,57,35.52083298563957,57,46.95599991828203
65,2026-02-10T09:55:09.381270,102.44633397087455,,,True,,23.206666810438037,2.958291908726096,1,26.164958719164133,,39.77425000630319,6.640625186264515,1,46.414875192567706,,23.511458188295364,1,23.511458188295364,q19,19,1.0,,True,,True,,1,3.534208983182907,,,True,,1,5.792750045657158,1,6.355041870847344
