execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_error,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
24,2026-02-03T21:35:09.770779,242.82558378763497,,,True,,11.67037500999868,1.4748747926205397,1,13.145249802619219,,15.056292060762644,3.6440419498831034,1,18.700334010645747,,14.358874876052141,1,14.358874876052141,,True,,1,196.62112509831786,q14,14,1.0
25,2026-02-03T21:35:12.086572,2298.5803741030395,,,True,,40.33250012435019,4.487582948058844,57,44.820083072409034,,63.83216590620577,3.671125043183565,57,67.50329094938934,,47.35041712410748,57,47.35041712410748,,True,,57,2138.9065829571337,q18,18,1.0
26,2026-02-03T21:35:12.456510,359.4737076200545,,,True,,21.865916904062033,3.370624966919422,1,25.236541870981455,,32.15754101984203,7.536999881267548,1,39.694540901109576,,27.796957874670625,1,27.796957874670625,,True,,1,266.7456669732928,q19,19,1.0
27,2026-02-03T21:35:13.795699,1325.638999696821,,,True,,28.39974989183247,2.1577919833362103,4,30.55754187516868,,88.63558294251561,4.01683384552598,4,92.65241678804159,,35.77379113994539,4,35.77379113994539,,True,,4,1166.6552498936653,q01,1,1.0
28,2026-02-03T21:35:14.186479,377.45183100923896,,,True,,13.555916026234627,4.019582876935601,10,17.575498903170228,,20.437665982171893,4.127667052671313,10,24.565333034843206,,17.706040991470218,10,17.706040991470218,,True,,10,317.6049580797553,q03,3,1.0
29,2026-02-03T21:35:14.763844,565.769873559475,,,True,,37.93420782312751,3.5903328098356724,5,41.52454063296318,,84.96512495912611,2.7420001570135355,5,87.70712511613965,,18.79649981856346,5,18.79649981856346,,True,,5,417.74170799180865,q04,4,1.0
30,2026-02-03T21:35:15.101108,322.61941814795136,,,True,,16.268417006358504,1.8741670064628124,5,18.142584012821317,,23.93499994650483,5.252458155155182,5,29.187458101660013,,19.32695903815329,5,19.32695903815329,,True,,5,255.96241699531674,q05,5,1.0
31,2026-02-03T21:35:15.424438,319.39720874652267,,,True,,4.1754168923944235,1.4379580970853567,1,5.61337498947978,,9.314000140875578,3.1720418483018875,1,12.486041989177465,,4.327166825532913,1,4.327166825532913,,True,,1,296.9706249423325,q06,6,1.0
32,2026-02-03T21:35:15.815090,378.591624321416,,,True,,27.81358314678073,3.277790965512395,4,31.091374112293124,,24.538957979530096,8.976000128313899,4,33.514958107843995,,29.8056669998914,4,29.8056669998914,,True,,4,284.1796251013875,q07,7,1.0
33,2026-02-03T21:35:16.145088,317.4300421960652,,,True,,17.70916604436934,2.7453340590000153,2,20.454500103369355,,26.62525000050664,8.4480419754982,2,35.07329197600484,,20.15645895153284,2,20.15645895153284,,True,,2,241.74579116515815,q08,8,1.0
34,2026-02-03T21:35:17.166886,1006.9516249932349,,,True,,44.49879191815853,2.174125052988529,175,46.67291697114706,,72.48770794831216,7.053624838590622,175,79.54133278690279,,53.47608309239149,175,53.47608309239149,,True,,175,827.2612921427935,q09,9,1.0
35,2026-02-03T21:35:17.725388,547.1362080425024,,,True,,31.143291853368282,4.722957964986563,20,35.866249818354845,,39.77862512692809,4.436375107616186,20,44.21500023454428,,41.559332981705666,20,41.559332981705666,,True,,20,425.4956250078976,q10,10,1.0
36,2026-02-03T21:35:18.098154,362.255709245801,,,True,,14.429208124056458,2.9433330055326223,2,17.37254112958908,,23.422458907589316,5.5454999674111605,2,28.967958875000477,,18.690917175263166,2,18.690917175263166,,True,,2,297.22429206594825,q12,12,1.0
37,2026-02-03T21:35:18.357486,247.4840001668781,,,True,,12.416250072419643,2.678083023056388,1,15.094333095476031,,14.66708304360509,4.269791999831796,1,18.936875043436885,,14.805334154516459,1,14.805334154516459,,True,,1,198.64745787344873,q14,14,1.0
38,2026-02-03T21:35:20.807736,2438.929500291124,,,True,,37.88283304311335,4.839542089030147,57,42.7223751321435,,63.69150010868907,3.6818331573158503,57,67.37333326600492,,44.22720777802169,57,44.22720777802169,,True,,57,2284.606584114954,q18,18,1.0
39,2026-02-03T21:35:21.185791,366.228706901893,,,True,,20.2782079577446,4.161000018939376,1,24.439207976683974,,31.682708067819476,7.12670898064971,1,38.809417048469186,,26.811915915459394,1,26.811915915459394,,True,,1,276.16816596128047,q19,19,1.0
40,2026-02-03T21:35:22.403225,1206.3830841798335,,,True,,27.619166066870093,2.210875041782856,4,29.83004110865295,,70.83066692575812,4.052083007991314,4,74.88274993374944,,34.39795901067555,4,34.39795901067555,,True,,4,1067.2723341267556,q01,1,1.0
41,2026-02-03T21:35:22.754355,338.6084989178926,,,True,,14.977250015363097,6.094333017244935,10,21.071583032608032,,19.776207860559225,4.708083113655448,10,24.484290974214673,,17.63412496075034,10,17.63412496075034,,True,,10,275.41849995031953,q03,3,1.0
42,2026-02-03T21:35:23.294768,529.6565832104534,,,True,,32.76391699910164,3.124874783679843,5,35.88879178278148,,75.31708315946162,2.8166251722723246,5,78.13370833173394,,21.52066701091826,5,21.52066701091826,,True,,5,394.1134160850197,q04,4,1.0
43,2026-02-03T21:35:23.558671,252.10191681981087,,,True,,14.576541958376765,2.461791969835758,5,17.038333928212523,,22.717708023265004,5.434958962723613,5,28.152666985988617,,19.425916019827127,5,19.425916019827127,,True,,5,187.4849998857826,q05,5,1.0
44,2026-02-03T21:35:23.786317,217.88812498562038,,,True,,5.721166031435132,1.4722920022904873,1,7.193458033725619,,10.988041991367936,3.8323330227285624,1,14.820375014096498,,11.318499920889735,1,11.318499920889735,,True,,1,184.55579201690853,q06,6,1.0
45,2026-02-03T21:35:24.158895,361.1286256927997,,,True,,17.427459126338363,3.700832836329937,4,21.1282919626683,,32.100917072966695,9.65562486089766,4,41.756541933864355,,20.787416957318783,4,20.787416957318783,,True,,4,277.45637483894825,q07,7,1.0
46,2026-02-03T21:35:24.464700,296.4981673285365,,,True,,15.367416199296713,3.326167119666934,2,18.693583318963647,,23.948667105287313,8.587958989664912,2,32.536626094952226,,18.978582927957177,2,18.978582927957177,,True,,2,226.28937498666346,q08,8,1.0
47,2026-02-03T21:35:25.346908,868.0679153185338,,,True,,37.95962501317263,2.2642910480499268,175,40.22391606122255,,68.63091583363712,5.243083229288459,175,73.87399906292558,,48.91016613692045,175,48.91016613692045,,True,,175,705.0598340574652,q09,9,1.0
48,2026-02-03T21:35:25.800306,442.90533382445574,,,True,,31.36724978685379,5.44662494212389,20,36.81387472897768,,41.18245909921825,4.535292042419314,20,45.717751141637564,,43.68350002914667,20,43.68350002914667,,True,,20,316.6902079246938,q10,10,1.0
49,2026-02-03T21:35:26.179226,367.45383380912244,,,True,,17.174333799630404,2.826334210112691,2,20.000668009743094,,27.89000002667308,5.129499826580286,2,33.019499853253365,,19.375083036720753,2,19.375083036720753,,True,,2,295.05858290940523,q12,12,1.0
50,2026-02-03T21:35:26.429592,239.14999864064157,,,True,,11.344084050506353,1.5249159187078476,1,12.868999969214201,,14.748249901458621,4.019999876618385,1,18.768249778077006,,15.065666055306792,1,15.065666055306792,,True,,1,192.44708283804357,q14,14,1.0
51,2026-02-03T21:35:28.638639,2196.7278339434415,,,True,,35.84208316169679,4.866333911195397,57,40.70841707289219,,59.04500000178814,3.5822500940412283,57,62.62725009582937,,43.040999909862876,57,43.040999909862876,,True,,57,2050.351166864857,q18,18,1.0
52,2026-02-03T21:35:29.005515,356.1678777914494,,,True,,20.269084023311734,4.297833889722824,1,24.56691791303456,,32.429499784484506,7.01491697691381,1,39.444416761398315,,26.497709099203348,1,26.497709099203348,,True,,1,265.6588340178132,q19,19,1.0
53,2026-02-03T21:35:30.247436,1229.5542061328888,,,True,,26.54266613535583,2.015333157032728,4,28.55799929238856,,73.27200006693602,3.9172079414129257,4,77.18920800834894,,44.00466592051089,4,44.00466592051089,,True,,4,1079.8023329116404,q01,1,1.0
54,2026-02-03T21:35:30.592893,334.24191595986485,,,True,,14.323791954666376,4.634707933291793,10,18.95849988795817,,19.979041069746017,4.9962501507252455,10,24.975291220471263,,18.81283288821578,10,18.81283288821578,,True,,10,271.49529196321964,q03,3,1.0
55,2026-02-03T21:35:31.132317,528.1035818625242,,,True,,32.10054081864655,4.28725010715425,5,36.3877909258008,,73.00045806914568,2.815874991938472,5,75.81633306108415,,21.92045794799924,5,21.92045794799924,,True,,5,393.97899992763996,q04,4,1.0
56,2026-02-03T21:35:31.394694,251.48129113949835,,,True,,15.156334033235908,2.2092920262366533,5,17.36562605947256,,23.031875025480986,5.300333024933934,5,28.33220805041492,,21.280541084706783,5,21.280541084706783,,True,,5,184.5029159449041,q05,5,1.0
57,2026-02-03T21:35:31.628815,222.77725115418434,,,True,,5.0730828661471605,1.4906669966876507,1,6.563749862834811,,10.962791973724961,2.496083965525031,1,13.458875939249992,,8.621875196695328,1,8.621875196695328,,True,,1,194.1327501554042,q06,6,1.0
58,2026-02-03T21:35:32.007312,368.89554443769157,,,True,,21.21808403171599,2.9975001234561205,4,24.21558415517211,,27.797834016382694,11.015792144462466,4,38.81362616084516,,21.64879208430648,4,21.64879208430648,,True,,4,284.2175420373678,q07,7,1.0
59,2026-02-03T21:35:32.387220,370.481250109151,,,True,,15.34262509085238,2.5007498916238546,2,17.843374982476234,,28.35808414965868,7.7972079161554575,2,36.15529206581414,,21.241000154986978,2,21.241000154986978,,True,,2,295.24158290587366,q08,8,1.0
60,2026-02-03T21:35:33.291489,886.0895009711385,,,True,,39.75183400325477,2.1672078873962164,175,41.91904189065099,,71.6684169601649,5.434249993413687,175,77.10266695357859,,48.71187498793006,175,48.71187498793006,,True,,175,718.3559171389788,q09,9,1.0
61,2026-02-03T21:35:33.749825,447.6528747472912,,,True,,31.82974993251264,5.119374953210354,20,36.949124885722995,,40.69158295169473,5.33937499858439,20,46.03095795027912,,43.160707922652364,20,43.160707922652364,,True,,20,321.51208398863673,q10,10,1.0
62,2026-02-03T21:35:34.133607,374.8305831104517,,,True,,15.265125082805753,2.780541079118848,2,18.0456661619246,,23.035499965772033,5.332874832674861,2,28.368374798446894,,22.466375026851892,2,22.466375026851892,,True,,2,305.9501671232283,q12,12,1.0
63,2026-02-03T21:35:34.392119,247.64879210852087,,,True,,11.283874977380037,1.7720831092447042,1,13.055958086624742,,16.530167078599334,4.069625167176127,1,20.59979224577546,,15.916166827082634,1,15.916166827082634,,True,,1,198.07687494903803,q14,14,1.0
64,2026-02-03T21:35:36.706425,2302.3091659415513,,,True,,36.64266597479582,4.794541979208589,57,41.43720795400441,,61.24933296814561,3.5146670415997505,57,64.76400000974536,,40.93333287164569,57,40.93333287164569,,True,,57,2155.174625106156,q18,18,1.0
65,2026-02-03T21:35:37.076746,360.0450830999762,,,True,,20.434499951079488,4.157582996413112,1,24.5920829474926,,30.600500060245395,7.94150005094707,1,38.542000111192465,,26.17099997587502,1,26.17099997587502,,True,,1,270.7400000654161,q19,19,1.0
