execution_number,timestamp,duration_ms,error,correctness_1phase_error,correctness_1phase_match,correctness_2phase_error,correctness_2phase_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,run_num,source_count,tpch_sf
27,2026-03-01T00:30:46.825705,280.18283285200596,,,1,,1,,79.72449995577335,2.7070841751992702,4,82.43158413097262,,120.11137465015054,3.83954169228673,4,123.95091634243727,2,,73.79587506875396,4,2,3,1.0
28,2026-03-01T00:30:47.128779,293.0920422077179,,,1,,1,,80.65874967724085,2.5956672616302967,4,83.25441693887115,,131.04720879346132,4.016332793980837,4,135.06354158744216,2,,74.7697907499969,4,3,3,1.0
29,2026-03-01T00:30:47.452834,313.140416983515,,,1,,1,,87.86304201930761,2.7787089347839355,4,90.64175095409155,,119.42383367568254,4.664834123104811,4,124.08866779878736,2,,98.40649971738458,4,4,3,1.0
30,2026-03-01T00:30:47.743017,280.1874168217182,,,1,,1,,80.70683386176825,2.6017501950263977,4,83.30858405679464,,119.48658293113112,3.6410419270396233,4,123.12762485817075,2,,73.747250251472,4,5,3,1.0
31,2026-03-01T00:30:48.320056,283.89920806512237,,,1,,1,,79.31687496602535,2.6212921366095543,4,81.9381671026349,,123.40187514200807,4.611749667674303,4,128.01362480968237,3,,73.9415418356657,4,1,1,1.0
32,2026-03-01T00:30:48.623910,299.9498341232538,,,1,,1,,86.39258285984397,2.7141249738633633,4,89.10670783370733,,130.33541617915034,3.6865421570837498,4,134.0219583362341,3,,76.81620772928,4,2,1,1.0
33,2026-03-01T00:30:48.942215,314.21650014817715,,,1,,1,,86.10054198652506,2.5345422327518463,4,88.6350842192769,,134.13066696375608,3.6190832033753395,4,137.74975016713142,3,,87.82566618174314,4,3,1,1.0
34,2026-03-01T00:30:49.236840,290.4663751833141,,,1,,1,,80.51229221746325,2.4891248904168606,4,83.00141710788012,,126.54404202476144,4.494667053222656,4,131.0387090779841,3,,76.42204174771905,4,4,1,1.0
35,2026-03-01T00:30:49.531368,290.56820878759027,,,1,,1,,80.77820809558034,2.4532917886972427,4,83.23149988427758,,125.93775009736419,3.676291089504957,4,129.61404118686914,3,,77.71712495014071,4,5,1,1.0
36,2026-03-01T00:30:50.123672,286.72120766714215,,,1,,1,,80.62916668131948,2.8294576331973076,4,83.45862431451678,,121.72191683202982,5.524249747395515,4,127.24616657942533,3,,76.01079205051064,4,1,2,1.0
37,2026-03-01T00:30:50.421917,291.3318327628076,,,1,,1,,79.79704067111015,2.832250203937292,4,82.62929087504745,,130.12587511911988,3.669499885290861,4,133.79537500441074,3,,74.90258291363716,4,2,2,1.0
38,2026-03-01T00:30:50.716123,287.20237500965595,,,1,,1,,81.64533320814371,2.656792290508747,4,84.30212549865246,,123.20487527176738,3.738999832421541,4,126.94387510418892,3,,75.9519999846816,4,3,2,1.0
39,2026-03-01T00:30:51.015997,293.05675020441413,,,1,,1,,83.9092917740345,2.5509167462587357,4,86.46020852029324,,125.68333279341459,4.46075014770031,4,130.1440829411149,3,,76.4489583671093,4,4,2,1.0
