execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
21,2026-03-01T01:10:06.650443,722.0071670599282,,,True,,5.7297502644360065,1.1258339509367943,1,6.855584215372801,,8.448584005236626,1.6336250118911266,1,10.082209017127752,,11.352458037436008,2.042749896645546,1,13.395207934081554,,4.860082641243935,1,4.860082641243935,q06,6,,True,,True,,1,707.2028336115181,,True,,1,1425.7419998757541,,,True,,1,1443.9140423201025,1,686.8140832521021,1.0
22,2026-03-01T01:10:10.845524,714.5361267030239,,,True,,5.8190422132611275,1.334083266556263,1,7.15312547981739,,9.491709060966969,1.6026669181883335,1,11.094375979155302,,12.51649996265769,2.417250070720911,1,14.933750033378601,,4.6276249922811985,1,4.6276249922811985,q06,6,,True,,True,,1,693.7625408172607,,True,,1,1335.5899169109762,,,True,,1,1447.6536666043103,1,676.7272502183914,1.0
23,2026-03-01T01:10:15.147510,714.0314592979848,,,True,,5.127209238708019,1.1235829442739487,1,6.250792182981968,,8.734041824936867,1.7257919535040855,1,10.459833778440952,,10.994667187333107,2.1815411746501923,1,13.1762083619833,,5.072374828159809,1,5.072374828159809,q06,6,,True,,True,,1,717.0696668326855,,True,,1,1433.3232501521707,,,True,,1,1433.8693749159575,1,679.0722501464188,1.0
24,2026-03-01T01:10:19.447092,719.9457930400968,,,True,,5.063875112682581,1.0084998793900013,1,6.072374992072582,,9.142875205725431,1.6916668973863125,1,10.834542103111744,,11.40187494456768,2.1272087469697,1,13.52908369153738,,4.813542123883963,1,4.813542123883963,q06,6,,True,,True,,1,711.1917501315475,,True,,1,1432.8366657719016,,,True,,1,1432.210249826312,1,684.6962501294911,1.0
25,2026-03-01T01:10:23.850564,719.3285850808024,,,True,,5.27050020173192,1.2102089822292328,1,6.480709183961153,,8.624125272035599,1.6362923197448254,1,10.260417591780424,,10.783208068460226,2.270291093736887,1,13.053499162197113,,5.034083966165781,1,5.034083966165781,q06,6,,True,,True,,1,712.1062497608364,,True,,1,1431.976375170052,,,True,,1,1536.5320825949311,1,684.499875176698,1.0
26,2026-03-01T01:10:33.685017,946.6143772006035,,,True,,21.816125139594078,3.139916807413101,4,24.95604194700718,,34.815417136996984,4.273459315299988,4,39.08887645229697,,234.29404199123383,9.509332943707705,4,243.80337493494153,,18.587208818644285,4,18.587208818644285,q07,7,,True,,True,,4,639.5157910883427,,True,,4,1276.0083749890327,,,True,,4,1333.7763752788305,4,620.1788750477135,1.0
27,2026-03-01T01:10:37.837821,927.9742487706244,,,True,,24.84029158949852,3.560457844287157,4,28.400749433785677,,36.06275003403425,4.500166047364473,4,40.562916081398726,,207.8730002976954,8.216958958655596,4,216.089959256351,,21.467541344463825,4,21.467541344463825,q07,7,,True,,True,,4,643.3409997262061,,True,,4,1229.681917000562,,,True,,4,1347.9458326473832,4,621.4530826546252,1.0
28,2026-03-01T01:10:41.891315,954.6842910349369,,,True,,25.140583980828524,2.846040762960911,4,27.986624743789434,,37.00729226693511,4.293249920010567,4,41.30054218694568,,224.8501251451671,9.465790819376707,4,234.31591596454382,,26.124625001102686,4,26.124625001102686,q07,7,,True,,True,,4,626.1041248217225,,True,,4,1242.8436251357198,,,True,,4,1226.0907087475061,4,624.9565831385553,1.0
29,2026-03-01T01:10:46.066551,1002.0222505554557,,,True,,23.90437526628375,2.7366671711206436,4,26.641042437404394,,37.387624848634005,5.31362509354949,4,42.701249942183495,,222.44412498548627,8.423292078077793,4,230.86741706356406,,21.01333299651742,4,21.01333299651742,q07,7,,True,,True,,4,716.5842079557478,,True,,4,1219.5805408991873,,,True,,4,1233.151082880795,4,680.7992081157863,1.0
30,2026-03-01T01:10:50.155154,925.1585407182574,,,True,,22.546499967575073,2.7344999834895134,4,25.280999951064587,,36.19320783764124,4.22458304092288,4,40.41779087856412,,204.3226659297943,8.378583006560802,4,212.7012489363551,,20.013791974633932,4,20.013791974633932,q07,7,,True,,True,,4,714.9566248990595,,True,,4,1230.4007923230529,,,True,,4,1214.57508392632,4,626.7447089776397,1.0
