execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
9,2026-02-13T02:50:05.996910,1940.3205420821905,,,True,,77.40041706711054,5.3417079616338015,20.0,82.74212502874434,,115.8571250271052,8.155042072758079,20.0,124.01216709986328,,113.65137505345048,20.0,113.65137505345048,q10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,20.0,1973.179416032508,,,True,,20.0,2696.0821670945734,20.0,1619.9148749001324
10,2026-02-06T17:56:34.393824,,,,,,,,,,,,,,,,,,,q12,12,1.0,,,,,,,,,,,,,,,,,True,,True,,2.0,544.4672498852015,,,True,,2.0,1192.3439998645335,2.0,477.643083082512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-06T18:14:38.315021,,,,,,,,,,,,,,,,,,,q12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,2.0,509.08629200421274,,,True,,2.0,1089.2833329271523,2.0,679.4403749518096,,,,,,,,,,,,,,,
10,2026-02-10T09:52:53.192713,,,,,,,,,,,,,,,,,,,q12,12,1.0,,True,,True,,2.0,5.643042037263513,,,True,,2.0,9.032333036884664,2.0,12.077542021870611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-13T02:50:09.791141,1045.7260434050113,,,True,,25.455417111516,2.210542093962431,2.0,27.66595920547843,,50.74262502603233,4.602374974638224,2.0,55.34500000067055,,47.08020901307464,2.0,47.08020901307464,q12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,2.0,944.3284580484031,,,True,,2.0,1787.4668748117983,2.0,915.6348751857876
11,2026-02-06T17:56:35.932986,,,,,,,,,,,,,,,,,,,q14,14,1.0,,,,,,,,,,,,,,,,,True,,True,,1.0,317.2652078792453,,,True,,1.0,674.132291926071,1.0,417.3109580297023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-02-06T18:14:40.041133,,,,,,,,,,,,,,,,,,,q14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,1.0,412.4125000089407,,,True,,1.0,788.9994590077549,1.0,407.7469161711633,,,,,,,,,,,,,,,
11,2026-02-10T09:52:53.282551,,,,,,,,,,,,,,,,,,,q14,14,1.0,,True,,True,,1.0,3.3449160400778055,,,True,,1.0,3.9131660014390945,1.0,5.135541083291173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-02-13T02:50:12.407082,700.4274581559002,,,True,,18.809750210493803,1.8342090770602224,1.0,20.643959287554026,,29.424707870930433,3.598500043153763,1.0,33.023207914084196,,28.045875020325184,1.0,28.045875020325184,q14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,1.0,628.9113750681281,,,True,,1.0,1263.4996669366956,1.0,618.7144159339368
12,2026-02-06T17:57:04.130259,,,,,,,,,,,,,,,,,,,q18,18,1.0,,,,,,,,,,,,,,,,,True,,True,,57.0,7913.733834167942,,,True,,57.0,12246.808500029148,57.0,7438.312875106931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2026-02-06T18:14:44.687742,,,,,,,,,,,,,,,,,,,q18,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,57.0,955.8552911039442,,,True,,57.0,2106.2702911440283,57.0,1005.2542500197889,,,,,,,,,,,,,,,
12,2026-02-10T09:52:53.735172,,,,,,,,,,,,,,,,,,,q18,18,1.0,,True,,True,,57.0,38.53958286345005,,,True,,57.0,26.535416953265667,57.0,53.6869999486953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2026-02-13T02:50:18.847422,1983.0094990320504,,,True,,60.34937500953674,4.408624954521656,57.0,64.7579999640584,,150.67529096268115,3.8670001085847616,57.0,154.54229107126594,,116.88120802864432,57.0,116.88120802864432,q18,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,57.0,1474.6564580127597,,,True,,57.0,2958.4454589057714,57.0,1646.8279999680817
13,2026-02-06T17:57:06.252377,,,,,,,,,,,,,,,,,,,q19,19,1.0,,,,,,,,,,,,,,,,,True,,True,,1.0,484.5209999475628,,,True,,1.0,919.39516691491,1.0,523.8874170463532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-02-06T18:14:46.664553,,,,,,,,,,,,,,,,,,,q19,19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,1.0,448.2059171423316,,,True,,1.0,885.5725000612438,1.0,467.54445787519217,,,,,,,,,,,,,,,
13,2026-02-10T09:52:53.881250,,,,,,,,,,,,,,,,,,,q19,19,1.0,,True,,True,,1.0,5.947708850726485,,,True,,1.0,7.647499907761812,1.0,6.867917021736503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-02-13T02:50:25.200538,1731.4445422962308,,,True,,25.057916063815355,3.939042100682854,1.0,28.99695816449821,,50.525667145848274,6.734124850481749,1.0,57.25979199633002,,37.1715840883553,1.0,37.1715840883553,q19,19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,1.0,1552.3472919594496,,,True,,1.0,3049.5237498544157,1.0,1608.0162080470473
14,2026-02-06T17:57:15.827215,,,,,,,,,,,,,,,,,,,q01,1,1.0,,,,,,,,,,,,,,,,,True,,True,,4.0,1617.000374943018,,,True,,4.0,5919.331083074212,4.0,1382.104917196557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-02-06T18:14:49.303028,,,,,,,,,,,,,,,,,,,q01,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,4.0,541.7122091166675,,,True,,4.0,1201.83658413589,4.0,504.227832891047,,,,,,,,,,,,,,,
14,2026-02-10T09:52:54.234562,,,,,,,,,,,,,,,,,,,q01,1,1.0,,True,,True,,4.0,31.20324993506074,,,True,,4.0,39.20170897617936,4.0,42.90916700847447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-02-13T02:51:04.635859,10431.246374966577,,,True,,51.11391702666879,2.4093331303447485,4.0,53.523250157013535,,126.10899982973932,3.9089589845389128,4.0,130.01795881427824,,61.8963330052793,4.0,61.8963330052793,q01,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,4.0,9181.603125063702,,,True,,4.0,19796.754833078012,4.0,10185.808832990006
15,2026-02-06T17:57:17.877746,,,,,,,,,,,,,,,,,,,q03,3,1.0,,,,,,,,,,,,,,,,,True,,True,,10.0,349.43524980917573,,,True,,10.0,732.1650839876384,10.0,760.4674170725048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-02-06T18:14:51.382796,,,,,,,,,,,,,,,,,,,q03,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,10.0,538.6073330882937,,,True,,10.0,955.2505840547384,10.0,456.1859159730375,,,,,,,,,,,,,,,
15,2026-02-10T09:52:54.353747,,,,,,,,,,,,,,,,,,,q03,3,1.0,,True,,True,,10.0,6.408374989405274,,,True,,10.0,10.162833845242858,10.0,8.158292155712843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-02-13T02:51:07.497726,888.5434570256621,,,True,,25.500166229903694,4.136832896620035,10.0,29.636999126523733,,41.896166978403926,4.163082921877503,10.0,46.05924990028143,,32.62258297763765,10.0,32.62258297763765,q03,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,10.0,648.1050411239266,,,True,,10.0,1298.920457949862,10.0,780.2246250212193
16,2026-02-06T17:57:27.142750,,,,,,,,,,,,,,,,,,,q04,4,1.0,,,,,,,,,,,,,,,,,True,,True,,5.0,2757.823291933164,,,True,,5.0,5587.00850000605,5.0,553.8164169993252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-02-06T18:14:53.768978,,,,,,,,,,,,,,,,,,,q04,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,500.4101658705622,,,True,,5.0,1097.6900421082971,5.0,466.2430409807712,,,,,,,,,,,,,,,
16,2026-02-10T09:52:54.699233,,,,,,,,,,,,,,,,,,,q04,4,1.0,,True,,True,,5.0,7.374749984592199,,,True,,5.0,118.6727921012789,5.0,21.801457973197103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-02-13T02:51:20.300479,1343.312748009339,,,True,,44.478415977209806,3.4932501148432493,5.0,47.971666092053056,,140.94295795075595,2.858333056792617,5.0,143.80129100754857,,31.186207896098495,5.0,31.186207896098495,q04,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,1236.330334097147,,,True,,5.0,10203.4205829259,5.0,1120.3535830136389
17,2026-02-06T17:57:28.615535,,,,,,,,,,,,,,,,,,,q05,5,1.0,,,,,,,,,,,,,,,,,True,,True,,5.0,301.54799995943904,,,True,,5.0,550.9587919805199,5.0,440.14758290722966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-02-06T18:14:57.025721,,,,,,,,,,,,,,,,,,,q05,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,5.0,580.2400829270482,,,True,,5.0,1924.600875005126,5.0,584.8218749742955,,,,,,,,,,,,,,,
17,2026-02-10T09:52:54.839996,,,,,,,,,,,,,,,,,,,q05,5,1.0,,True,,True,,5.0,6.943666143342853,,,True,,5.0,16.014334047213197,5.0,7.0220420602709055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
