execution_number,timestamp,duration_ms,error,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
41,2026-02-06T18:04:11.870266,303.3598761539906,,,True,,True,,10,224.31808291003108,,,True,,10,470.79454199410975,10,223.76529197208583,q03,3,1.0
42,2026-02-06T18:04:18.599698,658.0699167679995,,,True,,True,,5,2472.9469169396907,,,True,,5,3573.4601670410484,5,437.3797499574721,q04,4,1.0
43,2026-02-06T18:04:19.555535,350.15766648575664,,,True,,True,,5,181.4642499666661,,,True,,5,397.46266696602106,5,202.9310001526028,q05,5,1.0
44,2026-02-06T18:04:20.392711,225.89891706593335,,,True,,True,,1,186.07324990443885,,,True,,1,400.5368328653276,1,186.22841709293425,q06,6,1.0
45,2026-02-06T18:04:22.244888,992.5289994571358,,,True,,True,,4,288.7382919434458,,,True,,4,544.3055420182645,4,348.8785419613123,q07,7,1.0
46,2026-02-06T18:04:23.562479,460.1680429186672,,,True,,True,,2,289.8799581453204,,,True,,2,542.2587080392987,2,295.28804193250835,q08,8,1.0
47,2026-02-06T18:05:04.295055,33992.16275080107,,,True,,True,,175,662.1887921355665,,,True,,175,6048.269958002493,175,3463.55116693303,q09,9,1.0
48,2026-02-06T18:05:06.196044,733.814082108438,,,True,,True,,20,392.22120796330273,,,True,,20,749.12279099226,20,435.7465410139412,q10,10,1.0
49,2026-02-06T18:05:07.751671,469.7295839432627,,,True,,True,,2,357.87091706879437,,,True,,2,702.633417211473,2,339.18995899148285,q12,12,1.0
50,2026-02-06T18:05:08.755448,321.49820891208947,,,True,,True,,1,218.65995787084103,,,True,,1,435.96654082648456,1,233.51679206825793,q14,14,1.0
51,2026-02-06T18:05:25.064342,4974.157539894804,,,True,,True,,57,4806.144540896639,,,True,,57,6498.864457942545,57,4537.556875031441,q18,18,1.0
52,2026-02-06T18:05:26.311803,357.08479187451303,,,True,,True,,1,255.48183382488787,,,True,,1,612.1437919791788,1,247.3405001219362,q19,19,1.0
53,2026-02-06T18:05:32.822146,1424.8769180849197,,,True,,True,,4,1170.9857501555234,,,True,,4,3896.3764579966664,4,1118.4404590167103,q01,1,1.0
54,2026-02-06T18:05:34.008188,332.76879298500717,,,True,,True,,10,294.941124971956,,,True,,10,532.5223340187222,10,230.9094169177115,q03,3,1.0
55,2026-02-06T18:05:40.719459,715.2423353400081,,,True,,True,,5,2583.172000013292,,,True,,5,3389.1490830574185,5,455.12004219926894,q04,4,1.0
56,2026-02-06T18:05:41.642424,308.263125596568,,,True,,True,,5,180.68479211069643,,,True,,5,408.0702089704573,5,200.48670889809728,q05,5,1.0
57,2026-02-06T18:05:42.501732,230.35612516105175,,,True,,True,,1,194.19970898889005,,,True,,1,409.03437486849725,1,192.33574997633696,q06,6,1.0
58,2026-02-06T18:05:44.307980,907.672458793968,,,True,,True,,4,305.16412504948676,,,True,,4,566.6653749067336,4,386.27749984152615,q07,7,1.0
59,2026-02-06T18:05:45.703798,520.1315423473716,,,True,,True,,2,291.0044169984758,,,True,,2,555.7075410615653,2,318.4945830143988,q08,8,1.0
60,2026-02-06T18:06:28.810461,36049.54395839013,,,True,,True,,175,972.8994579054416,,,True,,175,6051.57950008288,175,2274.506875080988,q09,9,1.0
61,2026-02-06T18:06:30.747306,771.8919580802321,,,True,,True,,20,389.0007920563221,,,True,,20,748.4300001524389,20,478.5184161737561,q10,10,1.0
62,2026-02-06T18:06:32.276730,454.7762093134224,,,True,,True,,2,347.153167007491,,,True,,2,705.9919158928096,2,346.9320419244468,q12,12,1.0
63,2026-02-06T18:06:33.324157,295.96412484534085,,,True,,True,,1,284.30020809173584,,,True,,1,441.8973331339658,1,218.350957846269,q14,14,1.0
64,2026-02-06T18:06:50.563159,4997.109083691612,,,True,,True,,57,4716.666791820899,,,True,,57,7499.098500004038,57,4586.1393748782575,q18,18,1.0
65,2026-02-06T18:06:51.857219,379.3697080109269,,,True,,True,,1,275.9334158618003,,,True,,1,614.3129579722881,1,264.01516585610807,q19,19,1.0
