execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_error,umbra_rows,umbra_time_ms
23,2026-02-03T20:11:32.062226,25.785376550629735,,,True,,4.0655420161783695,1.7723331693559885,2,5.837875185534358,,6.3169170171022415,4.487417172640562,2,10.804334189742804,,3.4634170588105917,2,3.4634170588105917,q12,12,0.1,,True,,2,5.679750116541982
24,2026-02-03T20:11:32.079974,14.833956956863403,,,True,,1.9948750268667936,1.301292097195983,1,3.2961671240627766,,2.928707981482148,2.6199580170214176,1,5.548665998503566,,1.6894158907234669,1,1.6894158907234669,q14,14,0.1,,True,,1,4.299707943573594
25,2026-02-03T20:11:32.136684,53.57320886105299,,,True,,7.4504169169813395,3.914749948307872,5,11.365166865289211,,12.43724999949336,3.592666005715728,5,16.02991600520909,,6.416209042072296,5,6.416209042072296,q18,18,0.1,,True,,5,19.761916948482394
26,2026-02-03T20:11:32.170619,30.65466694533825,,,True,,3.832832910120487,2.9365001246333122,1,6.769333034753799,,7.467417046427727,6.609916919842362,1,14.07733396627009,,4.003749927505851,1,4.003749927505851,q19,19,0.1,,True,,1,5.80425001680851
27,2026-02-03T20:11:32.214303,40.52895796485245,,,True,,4.492040956392884,1.5261250082403421,4,6.018165964633226,,12.706416891887784,3.7159170024096966,4,16.42233389429748,,4.960458027198911,4,4.960458027198911,q01,1,0.1,,True,,4,13.128000078722835
28,2026-02-03T20:11:32.247207,29.63541611097753,,,True,,4.655541153624654,3.258749842643738,10,7.914290996268392,,6.56187511049211,3.676125081256032,10,10.238000191748142,,3.754334058612585,10,3.754334058612585,q03,3,0.1,,True,,10,7.728790864348412
29,2026-02-03T20:11:32.287755,37.50183340162039,,,True,,5.089708138257265,2.197250025346875,5,7.28695816360414,,17.346291104331613,2.2854581475257874,5,19.6317492518574,,3.4891669638454914,5,3.4891669638454914,q04,4,0.1,,True,,5,7.093959022313356
30,2026-02-03T20:11:32.330452,39.67087669298053,,,True,,4.546332871541381,1.7080418765544891,5,6.25437474809587,,6.94020907394588,3.852416994050145,5,10.792626067996025,,4.387916997075081,5,4.387916997075081,q05,5,0.1,,True,,5,18.235958879813552
31,2026-02-03T20:11:32.341729,8.121874881908298,,,True,,0.8884160779416561,1.0119169019162655,1,1.9003329798579216,,1.5744587872177362,2.5024579372256994,1,4.076916724443436,,0.8158751297742128,1,0.8158751297742128,q06,6,0.1,,True,,1,1.3287500478327274
32,2026-02-03T20:11:32.384650,39.883125107735395,,,True,,6.112165981903672,2.4852920323610306,4,8.597458014264703,,7.634666981175542,7.521874969825149,4,15.15654195100069,,6.389500107616186,4,6.389500107616186,q07,7,0.1,,True,,4,9.739625034853816
