execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
21,2026-02-15T19:02:53.854467,52.49779322184622,,,True,,4.941374994814396,1.1217081919312477,1,6.063083186745644,,6.955708842724562,True,,1.5906670596450567,1,8.546375902369618,,9.633708046749234,2.1016669925302267,1,11.735375039279461,,3.594249952584505,1,3.594249952584505,5.869584158062935,,16.68912498280406,2.0016669295728207,1,22.558709140866995,22.558709140866995,q06,6,1.0
22,2026-02-15T19:02:53.932042,55.14246039092541,,,True,,4.1442918591201305,0.976374838501215,1,5.1206666976213455,,7.7834168914705515,True,,1.5477088745683432,1,9.331125766038895,,9.267000015825033,2.1575838327407837,1,11.424583848565817,,3.64320888184011,1,3.64320888184011,7.114791078492999,,18.50808411836624,1.6540419310331345,1,25.62287519685924,25.62287519685924,q06,6,1.0
23,2026-02-15T19:02:54.008723,53.30566503107548,,,True,,4.293042002245784,1.184707973152399,1,5.477749975398183,,6.914166966453195,True,,1.5014160890132189,1,8.415583055466413,,8.575707906857133,2.160165924578905,1,10.735873831436038,,4.767999984323978,1,4.767999984323978,6.482500117272139,,17.425958067178726,1.8647080287337303,1,23.908458184450865,23.908458184450865,q06,6,1.0
24,2026-02-15T19:02:54.084717,53.26050170697272,,,True,,4.716334166005254,1.0949999559670687,1,5.8113341219723225,,7.570208981633186,True,,1.6734169330447912,1,9.243625914677978,,9.815833996981382,2.082624938338995,1,11.898458935320377,,3.57737485319376,1,3.57737485319376,5.671374965459108,,17.058332916349173,1.644332893192768,1,22.72970788180828,22.72970788180828,q06,6,1.0
25,2026-02-15T19:02:54.166344,57.60945891961455,,,True,,4.483082797378302,1.0442498605698347,1,5.527332657948136,,8.440792094916105,True,,1.8440000712871552,1,10.28479216620326,,11.061291908845305,2.045416971668601,1,13.106708880513906,,5.070917075499892,1,5.070917075499892,6.687958026304841,,16.931750113144517,1.5647080726921558,1,23.619708139449358,23.619708139449358,q06,6,1.0
26,2026-02-15T19:02:54.873815,280.00849951058626,,,True,,16.68837503530085,2.668833127245307,4,19.357208162546158,,24.373375112190843,True,,4.404000006616116,4,28.777375118806958,,178.46729210577905,8.19050008431077,4,186.65779219008982,,15.528875170275569,4,15.528875170275569,20.152665907517076,,9.53458296135068,5.776582984253764,4,29.687248868867755,29.687248868867755,q07,7,1.0
27,2026-02-15T19:02:55.169610,266.93796017207205,,,True,,16.594541957601905,2.6377919130027294,4,19.232333870604634,,27.353042038157582,True,,4.203916992992163,4,31.556959031149745,,160.8973341062665,7.991208927705884,4,168.88854303397238,,16.104916110634804,4,16.104916110634804,21.202374948188663,,9.952833177521825,6.052749929949641,4,31.155208125710487,31.155208125710487,q07,7,1.0
28,2026-02-15T19:02:55.459558,260.3149174246937,,,True,,15.900500118732452,2.8372080996632576,4,18.73770821839571,,24.417791981250048,True,,3.963917028158903,4,28.38170900940895,,160.69545783102512,8.393583120778203,4,169.08904095180333,,14.958417043089867,4,14.958417043089867,19.459417089819908,,9.688625112175941,5.751291057094932,4,29.14804220199585,29.14804220199585,q07,7,1.0
29,2026-02-15T19:02:55.749413,260.56875195354223,,,True,,17.126375110819936,2.672417089343071,4,19.798792200163007,,25.885541923344135,True,,3.938916837796569,4,29.824458761140704,,158.90170796774328,8.04949994198978,4,166.95120790973306,,14.98670899309218,4,14.98670899309218,19.484292017295957,,9.523292072117329,6.104875123128295,4,29.007584089413285,29.007584089413285,q07,7,1.0
30,2026-02-15T19:02:56.043012,264.73837485536933,,,True,,16.810999950394034,2.703416859731078,4,19.514416810125113,,26.59108303487301,True,,4.646415822207928,4,31.237498857080936,,161.29566705785692,8.333416189998388,4,169.6290832478553,,14.184958068653941,4,14.184958068653941,19.55445879139006,,10.617959080263972,6.553374929353595,4,30.172417871654034,30.172417871654034,q07,7,1.0
