execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
44,2026-02-13T02:55:44.516427,872.3904169164598,,,True,,8.98345885798335,1.7727501690387726,1,10.756209027022123,,15.51279192790389,2.8526668902486563,1,18.365458818152547,,9.155957959592342,1,9.155957959592342,q06,6,,True,,True,,1,717.1319590415806,,,True,,1,1356.4754580147564,1,834.1127911116928,1.0
45,2026-02-13T02:55:47.562864,1079.6315828338265,,,True,,65.57254190556705,6.4489999786019325,4,72.02154188416898,,255.38158300332725,8.527874946594238,4,263.9094579499215,,70.23775018751621,4,70.23775018751621,q07,7,,True,,True,,4,633.7259579449892,,,True,,4,1311.1554579809308,4,673.4628328122199,1.0
46,2026-02-13T02:55:50.675870,1005.5949999950826,,,True,,31.02454193867743,2.799874870106578,2,33.82441680878401,,83.83116615004838,7.230125134810805,2,91.06129128485918,,33.633166924118996,2,33.633166924118996,q08,8,,True,,True,,2,709.1465829871595,,,True,,2,1372.461708029732,2,847.0761249773204,1.0
47,2026-02-13T02:56:33.855991,40045.792958233505,,,True,,60.896540991961956,2.155708149075508,175,63.052249141037464,,38946.98404194787,5.610625026747584,175,38952.59466697462,,70.07295801304281,175,70.07295801304281,q09,9,,True,,True,,175,1076.4295421540737,,,True,,175,2032.2482089977711,175,960.0730841048062,1.0
48,2026-02-13T02:56:39.754267,1805.8345429599285,,,True,,77.10245903581381,9.441542206332088,20,86.5440012421459,,103.58674987219274,6.312624784186482,20,109.89937465637922,,105.16154207289219,20,105.16154207289219,q10,10,,True,,True,,20,1471.9866670202464,,,True,,20,2581.9791671819985,20,1504.2296249885112,1.0
49,2026-02-13T02:56:43.579713,1038.5643327608705,,,True,,20.474541001021862,2.0707498770207167,2,22.54529087804258,,42.33591677621007,4.785500001162291,2,47.12141677737236,,35.817667143419385,2,35.817667143419385,q12,12,,True,,True,,2,922.9711669031531,,,True,,2,1845.1294580008835,2,933.0799579620361,1.0
50,2026-02-13T02:56:46.239732,742.1052490826696,,,True,,19.22087511047721,1.8220001365989447,1,21.042875247076154,,26.603000005707145,2.9870830476284027,1,29.590083053335547,,29.867874924093485,1,29.867874924093485,q14,14,,True,,True,,1,628.7197079509497,,,True,,1,1263.1696669850498,1,661.6044158581644,1.0
51,2026-02-13T02:56:52.708794,1984.6404171548784,,,True,,58.31154203042388,4.163958132266998,57,62.47550016269088,,145.64054203219712,3.9727499242872,57,149.61329195648432,,122.79654201120138,57,122.79654201120138,q18,18,,True,,True,,57,1479.0015839971602,,,True,,57,2979.865500004962,57,1649.7550830245018,1.0
52,2026-02-13T02:56:59.060137,1694.6154593024403,,,True,,29.27187504246831,3.13941715285182,1,32.41129219532013,,53.738499991595745,6.587250158190727,1,60.32575014978647,,38.653000025078654,1,38.653000025078654,q19,19,,True,,True,,1,1580.8377920184284,,,True,,1,3048.6498749814928,1,1563.225416932255,1.0
53,2026-02-13T02:57:37.545031,9168.175417929888,,,True,,51.151708932593465,1.6918329056352377,4,52.8435418382287,,126.07679213397205,4.023917019367218,4,130.10070915333927,,60.30724989250302,4,60.30724989250302,q01,1,,True,,True,,4,9223.392667016014,,,True,,4,20070.8689999301,4,8924.923917045817,1.0
54,2026-02-13T02:57:40.309882,791.5199161507189,,,True,,27.002708055078983,3.920542076230049,10,30.923250131309032,,34.66599993407726,4.877208033576608,10,39.54320796765387,,31.51783300563693,10,31.51783300563693,q03,3,,True,,True,,10,646.4422079734504,,,True,,10,1301.7134158872068,10,689.5356250461191,1.0
55,2026-02-13T02:57:52.907117,1357.4397498741746,,,True,,46.18945880793035,2.7347910217940807,5,48.92424982972443,,148.15833396278322,2.4021659046411514,5,150.56049986742437,,30.769458040595055,5,30.769458040595055,q04,4,,True,,True,,5,1246.4018750470132,,,True,,5,9972.242334159091,5,1127.1855421364307,1.0
56,2026-02-13T02:57:55.678300,795.9504993632436,,,True,,27.56237518042326,2.1222499199211597,5,29.68462510034442,,47.91004094295204,5.009541055187583,5,52.91958199813962,,35.14783410355449,5,35.14783410355449,q05,5,,True,,True,,5,710.7612499967217,,,True,,5,1240.357792004943,5,678.198458161205,1.0
57,2026-02-13T02:57:58.521332,729.2611678130925,,,True,,8.574333973228931,1.701749861240387,1,10.276083834469318,,16.97970903478563,3.0192499980330467,1,19.998959032818675,,9.030000073835254,1,9.030000073835254,q06,6,,True,,True,,1,728.4220419824123,,,True,,1,1363.5436249896884,1,689.9561248719692,1.0
58,2026-02-13T02:58:01.534998,1033.074498642236,,,True,,68.29658290371299,3.7818329874426126,4,72.0784158911556,,264.7538338787854,8.197832852602005,4,272.9516667313874,,71.23145810328424,4,71.23145810328424,q07,7,,True,,True,,4,696.7020840384066,,,True,,4,1260.0662498734891,4,616.8129579164088,1.0
59,2026-02-13T02:58:04.354933,873.3740001916885,,,True,,26.891292072832584,2.897791098803282,2,29.789083171635866,,78.87512492015958,7.708874996751547,2,86.58399991691113,,31.232959125190973,2,31.232959125190973,q08,8,,True,,True,,2,658.6665839422494,,,True,,2,1261.1824998166412,2,725.7679579779506,1.0
60,2026-02-13T02:58:37.394015,30101.758292177692,,,True,,60.062000062316656,1.9748748745769262,175,62.03687493689358,,28986.190375173464,5.580833880230784,175,28991.771209053695,,70.73933305218816,175,70.73933305218816,q09,9,,True,,True,,175,926.0310418903828,,,True,,175,1977.9992080293596,175,977.2108751349151,1.0
61,2026-02-13T02:58:43.433132,1877.3179603740573,,,True,,94.79470807127655,5.5217500776052475,20,100.3164581488818,,112.68516699783504,5.721084075048566,20,118.4062510728836,,125.76483399607241,20,125.76483399607241,q10,10,,True,,True,,20,1534.437291091308,,,True,,20,2604.497749824077,20,1532.8304171562195,1.0
62,2026-02-13T02:58:47.174309,1016.2034991662949,,,True,,22.948291152715683,2.3914161138236523,2,25.339707266539335,,38.050750037655234,4.539666930213571,2,42.590416967868805,,41.135374922305346,2,41.135374922305346,q12,12,,True,,True,,2,921.8917500693351,,,True,,2,1774.5987500529736,2,907.1380000095814,1.0
63,2026-02-13T02:58:49.839798,694.3426239304245,,,True,,17.83400005660951,1.8289578147232533,1,19.662957871332765,,28.48191582597792,3.011292079463601,1,31.493207905441523,,27.16158307157457,1,27.16158307157457,q14,14,,True,,True,,1,669.0276670269668,,,True,,1,1279.4098749291152,1,616.0248750820756,1.0
64,2026-02-13T02:58:56.405038,2130.150248995051,,,True,,53.71841695159674,3.990749828517437,57,57.709166780114174,,150.71887499652803,5.242082988843322,57,155.96095798537135,,119.59658307023346,57,119.59658307023346,q18,18,,True,,True,,57,1435.4591250885278,,,True,,57,2974.6263329871,57,1796.8835411593318,1.0
65,2026-02-13T02:59:02.848187,1705.871001817286,,,True,,24.796334095299244,3.155332989990711,1,27.951667085289955,,51.67679185979068,7.341834018006921,1,59.018625877797604,,35.57733399793506,1,35.57733399793506,q19,19,,True,,True,,1,1542.4692500382662,,,True,,1,3172.768959077075,1,1583.3233748562634,1.0
