execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
54,2026-02-06T18:19:23.562822,550.1142072025687,,,True,,True,,True,,10,499.0981249138713,,,True,,10,946.9840829260647,10,446.8056671321392,,26.824207976460457,4.470124840736389,10,31.294332817196846,,40.46545806340873,6.458833115175366,10,46.9242911785841,,25.0899160746485,10,25.0899160746485,q03,3,1.0
55,2026-02-06T18:19:25.893616,725.1260848715901,,,True,,True,,True,,5,490.33491709269583,,,True,,5,1096.6358750592917,5,436.7707499768585,,70.40233397856355,4.2866249568760395,5,74.68895893543959,,177.29241703636944,4.2217499576509,5,181.51416699402034,,32.15220896527171,5,32.15220896527171,q04,4,1.0
56,2026-02-06T18:19:29.143996,694.3619593512267,,,True,,True,,True,,5,621.670207940042,,,True,,5,1917.0281251426786,5,540.2826659847051,,34.56829208880663,3.4392080269753933,5,38.00750011578202,,72.5990841165185,7.38770910538733,5,79.98679322190583,,36.08500002883375,5,36.08500002883375,q05,5,1.0
57,2026-02-06T18:19:30.886005,459.2888329643756,,,True,,True,,True,,1,419.72120804712176,,,True,,1,846.3660830166191,1,411.1473329830915,,11.209790827706456,1.5723330434411764,1,12.782123871147633,,21.95108402520418,3.7726250011473894,1,25.72370902635157,,9.635667083784938,1,9.635667083784938,q06,6,1.0
58,2026-02-06T18:19:34.597190,1183.19674837403,,,True,,True,,True,,4,665.1189171243459,,,True,,4,1846.6405000071973,4,584.7315420396626,,77.03066617250443,8.222165983170271,4,85.2528321556747,,415.99433310329914,14.656499959528446,4,430.6508330628276,,82.56154111586511,4,82.56154111586511,q07,7,1.0
59,2026-02-06T18:19:37.143677,740.0053348392248,,,True,,True,,True,,2,598.9242079667747,,,True,,2,1192.732458934188,2,553.0795841477811,,33.55658310465515,3.586291801184416,2,37.14287490583956,,107.57520911283791,10.2548748254776,2,117.83008393831551,,31.95279184728861,2,31.95279184728861,q08,8,1.0
60,2026-02-06T18:20:34.346194,34596.26558399759,,,True,,True,,True,,175,645.7411670126021,,,True,,175,21938.3791659493,175,1499.2878339253366,,84.66262486763299,3.1533329747617245,175,87.81595784239471,,32912.64654207043,10.019333101809025,175,32922.66587517224,,86.4959170576185,175,86.4959170576185,q09,9,1.0
61,2026-02-06T18:20:39.450012,1886.200747685507,,,True,,True,,True,,20,1182.3908749502152,,,True,,20,1984.5696659758687,20,1317.633124999702,,94.71416589803994,16.167165944352746,20,110.88133184239268,,238.0132908001542,9.621459059417248,20,247.63474985957146,,210.05154098384082,20,210.05154098384082,q10,10,1.0
62,2026-02-06T18:20:41.834310,881.6649590153247,,,True,,True,,True,,2,486.87937506474555,,,True,,2,1003.8743331097066,2,763.5635831393301,,20.350333070382476,3.00920894369483,2,23.359542014077306,,44.853084022179246,5.887666950002313,2,50.74075097218156,,44.0010828897357,2,44.0010828897357,q12,12,1.0
63,2026-02-06T18:20:43.542271,536.0865432303399,,,True,,True,,True,,1,400.1172920688987,,,True,,1,753.0604579951614,1,448.5767500009388,,21.26637496985495,2.562959212809801,1,23.829334182664752,,33.45300001092255,5.064291879534721,1,38.51729189045727,,25.163167156279087,1,25.163167156279087,q14,14,1.0
64,2026-02-06T18:20:47.824205,1337.1515022590756,,,True,,True,,True,,57,901.7767501063645,,,True,,57,2023.642749991268,57,898.5373750329018,,71.59270904958248,7.199625018984079,57,78.79233406856656,,201.1097918730229,6.426667096093297,57,207.5364589691162,,152.2853341884911,57,152.2853341884911,q18,18,1.0
65,2026-02-06T18:20:49.770881,653.7267491221428,,,True,,True,,True,,1,451.08295883983374,,,True,,1,824.9251670204103,1,501.6000831965357,,38.336707977578044,5.009416025131941,1,43.346124002709985,,59.83979185111821,11.37208309955895,1,71.21187495067716,,37.568666972219944,1,37.568666972219944,q19,19,1.0
