execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
47,2026-02-14T18:21:37.416171,19.068999914452434,,,8.124500047415495,4.7430419363081455,10,12.86754198372364,16,,6.197999930009246,10,10000,2,16,17
48,2026-02-14T18:21:37.478972,18.98979186080396,,,6.9229998625814915,4.758457886055112,10,11.681457748636603,16,,7.305667037144303,10,10000,3,16,17
49,2026-02-14T18:21:37.542814,18.555999966338277,,,7.002415833994746,4.972167080268264,10,11.97458291426301,16,,6.578083150088787,10,10000,4,16,17
50,2026-02-14T18:21:37.606648,18.58858298510313,,,7.071916945278645,5.326166050508618,10,12.398082995787263,16,,6.187583087012172,10,10000,5,16,17
51,2026-02-14T18:21:37.642195,29.36029201373458,,,11.722000082954764,6.378292106091976,10,18.10029218904674,32,,11.256166966632009,10,10000,1,2,33
52,2026-02-14T18:21:37.678277,29.12874985486269,,,11.668290942907333,5.989624885842204,10,17.657915828749537,32,,11.467624921351671,10,10000,2,2,33
53,2026-02-14T18:21:37.715763,30.603166902437806,,,12.854374945163727,5.528416950255632,10,18.38279189541936,32,,12.216957984492183,10,10000,3,2,33
54,2026-02-14T18:21:37.755978,33.33749994635582,,,14.35229112394154,5.383624928072095,10,19.735916052013636,32,,13.591791968792677,10,10000,4,2,33
55,2026-02-14T18:21:37.791327,29.05929205007851,,,11.987917125225067,5.347082857042551,10,17.334999982267618,32,,11.722082970663905,10,10000,5,2,33
56,2026-02-14T18:21:37.834377,30.850542010739446,,,12.511207954958081,6.245374912396073,10,18.756582867354155,32,,12.091208016499877,10,10000,1,4,33
57,2026-02-14T18:21:37.874798,29.05975002795458,,,12.198333162814379,5.613791989162564,10,17.812125151976943,32,,11.245209025219083,10,10000,2,4,33
58,2026-02-14T18:21:37.919276,32.52395801246166,,,13.36912508122623,6.660958053544164,10,20.030083134770393,32,,12.49116682447493,10,10000,3,4,33
59,2026-02-14T18:21:37.960672,29.63933302089572,,,12.223042082041502,6.058708066120744,10,18.281750148162246,32,,11.35445898398757,10,10000,4,4,33
60,2026-02-14T18:21:38.003319,30.65808303654194,,,12.323333183303475,5.698707886040211,10,18.022041069343686,32,,12.633374892175198,10,10000,5,4,33
61,2026-02-14T18:21:38.056566,31.194958835840225,,,12.201292207464576,6.562625057995319,10,18.763917265459895,32,,12.428625021129847,10,10000,1,8,33
62,2026-02-14T18:21:38.108468,30.31741618178785,,,12.596957851201296,6.169625092297792,10,18.76658294349909,32,,11.547666043043137,10,10000,2,8,33
63,2026-02-14T18:21:38.162536,31.40208311378956,,,12.624416034668684,7.067499915137887,10,19.69191594980657,32,,11.70745911076665,10,10000,3,8,33
64,2026-02-14T18:21:38.216213,31.797417206689715,,,13.122957898303866,6.376500008627772,10,19.49945790693164,32,,12.294749962165952,10,10000,4,8,33
65,2026-02-14T18:21:38.272623,34.5527499448508,,,14.72004083916545,7.333874935284257,10,22.053915774449706,32,,12.495124945417047,10,10000,5,8,33
66,2026-02-14T18:21:38.349007,32.99908293411136,,,13.57129099778831,7.396334083750844,10,20.967625081539154,32,,12.028292054310441,10,10000,1,16,33
67,2026-02-14T18:21:38.440581,48.1685830745846,,,13.415625086054206,23.277583066374063,10,36.69320815242827,32,,11.473166989162564,10,10000,2,16,33
68,2026-02-14T18:21:38.517704,33.61229202710092,,,13.450292171910405,7.821792038157582,10,21.272084210067987,32,,12.337167048826814,10,10000,3,16,33
69,2026-02-14T18:21:38.592254,31.256041955202818,,,12.40845792926848,7.058915914967656,10,19.467373844236135,32,,11.785916052758694,10,10000,4,16,33
70,2026-02-14T18:21:38.669014,33.81458297371864,,,13.742332812398672,7.480415981262922,10,21.222748793661594,32,,12.589167105033994,10,10000,5,16,33
71,2026-02-14T18:21:38.789427,37.52437513321638,,,16.45045797340572,9.336333023384213,10,25.786790996789932,32,,11.734167113900185,10,10000,1,32,33
72,2026-02-14T18:21:38.910430,37.49045799486339,,,15.416959067806602,9.412749903276563,10,24.829708971083164,32,,12.657708954066038,10,10000,2,32,33
73,2026-02-14T18:21:39.032051,38.27562485821545,,,16.344290925189853,9.818082908168435,10,26.162373833358288,32,,12.109874980524182,10,10000,3,32,33
74,2026-02-14T18:21:39.153945,38.07770786806941,,,15.514250146225095,9.855000069364905,10,25.36925021559,32,,12.704666005447507,10,10000,4,32,33
75,2026-02-14T18:21:39.277075,39.61116704158485,,,16.12687506712973,9.591209003701806,10,25.718084070831537,32,,13.88979097828269,10,10000,5,32,33
