source_section,target_section,comparison_status,category
6234,1,xml_only,rej16_multi_section_list
6241,6502,xml_only,rej16_multi_section_list
6302,4271,xml_only,rej16_multi_section_list
6323,591,xml_only,rej16_multi_section_list
6327,724,xml_only,rej16_multi_section_list
6343,403,xml_only,rej16_multi_section_list
6343,408A,xml_only,rej16_multi_section_list
6343,457,xml_only,rej16_multi_section_list
6412,4081,xml_only,rej16_multi_section_list
6413,3111,xml_only,rej16_multi_section_list
6413,3221,xml_only,rej16_multi_section_list
6413,3402,xml_only,rej16_multi_section_list
6415,4261,xml_only,rej16_multi_section_list
6415,4271,xml_only,rej16_multi_section_list
6417,1366,xml_only,rej16_multi_section_list
6418,1366,xml_only,rej16_multi_section_list
642,1,xml_only,rej16_multi_section_list
642,197,xml_only,rej16_multi_section_list
642,2054,xml_only,rej16_multi_section_list
642,661,xml_only,rej16_multi_section_list
6432,3132,xml_only,rej16_multi_section_list
6433,404,xml_only,rej16_multi_section_list
6433,414,xml_only,rej16_multi_section_list
6433,415,xml_only,rej16_multi_section_list
6433,416,xml_only,rej16_multi_section_list
6433,931,xml_only,rej16_multi_section_list
6433,933,xml_only,rej16_multi_section_list
646,661,xml_only,rej16_multi_section_list
6501,30C,xml_only,rej16_multi_section_list
6501,30D,xml_only,rej16_multi_section_list
6501,35,xml_only,rej16_multi_section_list
6501,40,xml_only,rej16_multi_section_list
6501,43,xml_only,rej16_multi_section_list
6501,45B,xml_only,rej16_multi_section_list
6501,45C,xml_only,rej16_multi_section_list
6501,45H,xml_only,rej16_multi_section_list
6501,4974,xml_only,rej16_multi_section_list
6501,51,xml_only,rej16_multi_section_list
6501,6038,xml_only,rej16_multi_section_list
6501,6038A,xml_only,rej16_multi_section_list
6501,6038B,xml_only,rej16_multi_section_list
6501,6046,xml_only,rej16_multi_section_list
6501,6046A,xml_only,rej16_multi_section_list
6501,6048,xml_only,rej16_multi_section_list
6503,4971,xml_only,rej16_multi_section_list
6503,4975,xml_only,rej16_multi_section_list
6503,6166,xml_only,rej16_multi_section_list
6504,6421,xml_only,rej16_multi_section_list
6504,6427,xml_only,rej16_multi_section_list
6504,6695,xml_only,rej16_multi_section_list
6511,2015,xml_only,rej16_multi_section_list
6511,6695,xml_only,rej16_multi_section_list
6514,7405,xml_only,rej16_multi_section_list
6531,7207,xml_only,rej16_multi_section_list
6601,6653,xml_only,rej16_multi_section_list
6601,6655,xml_only,rej16_multi_section_list
6622,6655,xml_only,rej16_multi_section_list
663,4948,xml_only,rej16_multi_section_list
663,681,xml_only,rej16_multi_section_list
6651,6655,xml_only,rej16_multi_section_list
6652,7705,xml_only,rej16_multi_section_list
6655,4940,xml_only,rej16_multi_section_list
6656,6862,xml_only,rej16_multi_section_list
6658,6654,xml_only,rej16_multi_section_list
6658,6655,xml_only,rej16_multi_section_list
6662,45Y,xml_only,rej16_multi_section_list
6662,48E,xml_only,rej16_multi_section_list
6662,6038B,xml_only,rej16_multi_section_list
6662,6038D,xml_only,rej16_multi_section_list
6662,6046A,xml_only,rej16_multi_section_list
6662,6048,xml_only,rej16_multi_section_list
6664,6663,xml_only,rej16_multi_section_list
6665,6655,xml_only,rej16_multi_section_list
6675,6421,xml_only,rej16_multi_section_list
6675,6427,xml_only,rej16_multi_section_list
6675,6435,xml_only,rej16_multi_section_list
6679,6046A,xml_only,rej16_multi_section_list
6695,25A,xml_only,rej16_multi_section_list
6695,32,xml_only,rej16_multi_section_list
6696,6695,xml_only,rej16_multi_section_list
6696,6695A,xml_only,rej16_multi_section_list
67,651,xml_only,rej16_multi_section_list
67,661,xml_only,rej16_multi_section_list
6703,6701,xml_only,rej16_multi_section_list
6703,6702,xml_only,rej16_multi_section_list
672,675,xml_only,rej16_multi_section_list
6721,5,xml_only,rej16_multi_section_list
6721,6041A,xml_only,rej16_multi_section_list
6721,6050H,xml_only,rej16_multi_section_list
6721,6050J,xml_only,rej16_multi_section_list
6721,6050K,xml_only,rej16_multi_section_list
6721,6050L,xml_only,rej16_multi_section_list
6722,5,xml_only,rej16_multi_section_list
6722,6050K,xml_only,rej16_multi_section_list
6722,6050L,xml_only,rej16_multi_section_list
6724,6722,xml_only,rej16_multi_section_list
6751,6654,xml_only,rej16_multi_section_list
6751,6655,xml_only,rej16_multi_section_list
6751,6662,xml_only,rej16_multi_section_list
6863,6852,xml_only,rej16_multi_section_list
6867,6861,xml_only,rej16_multi_section_list
691,1202,xml_only,rej16_multi_section_list
691,1211,xml_only,rej16_multi_section_list
691,163,xml_only,rej16_multi_section_list
691,164,xml_only,rej16_multi_section_list
691,2101,xml_only,rej16_multi_section_list
691,212,xml_only,rej16_multi_section_list
7012,5841,xml_only,rej16_multi_section_list
7012,5861,xml_only,rej16_multi_section_list
72,3405,xml_only,rej16_multi_section_list
72,417,xml_only,rej16_multi_section_list
7203,6655,xml_only,rej16_multi_section_list
7210,6421,xml_only,rej16_multi_section_list
7210,6427,xml_only,rej16_multi_section_list
7210,7602,xml_only,rej16_multi_section_list
7210,7603,xml_only,rej16_multi_section_list
7210,7604,xml_only,rej16_multi_section_list
7269,6036,xml_only,rej16_multi_section_list
7272,4412,xml_only,rej16_multi_section_list
7272,7011,xml_only,rej16_multi_section_list
731,734,xml_only,rej16_multi_section_list
74,135,xml_only,rej16_multi_section_list
74,137,xml_only,rej16_multi_section_list
74,219,xml_only,rej16_multi_section_list
74,221,xml_only,rej16_multi_section_list
74,469,xml_only,rej16_multi_section_list
74,86,xml_only,rej16_multi_section_list
7404,6601,xml_only,rej16_multi_section_list
7407,6695,xml_only,rej16_multi_section_list
7408,6701,xml_only,rej16_multi_section_list
7408,6707,xml_only,rej16_multi_section_list
7408,6708,xml_only,rej16_multi_section_list
7421,6212,xml_only,rej16_multi_section_list
7422,4942,xml_only,rej16_multi_section_list
7422,4943,xml_only,rej16_multi_section_list
7422,4944,xml_only,rej16_multi_section_list
7422,4945,xml_only,rej16_multi_section_list
7422,4951,xml_only,rej16_multi_section_list
7422,4952,xml_only,rej16_multi_section_list
7422,4955,xml_only,rej16_multi_section_list
7422,4958,xml_only,rej16_multi_section_list
7422,4971,xml_only,rej16_multi_section_list
7422,4975,xml_only,rej16_multi_section_list
7429,6852,xml_only,rej16_multi_section_list
7429,6861,xml_only,rej16_multi_section_list
7429,6862,xml_only,rej16_multi_section_list
7437,724,xml_only,rej16_multi_section_list
7443A,6330,xml_only,rej16_multi_section_list
7453,7463,xml_only,rej16_multi_section_list
7463,7460,xml_only,rej16_multi_section_list
7473,7475,xml_only,rej16_multi_section_list
7481,7463,xml_only,rej16_multi_section_list
7482,6330,xml_only,rej16_multi_section_list
7501,7202,xml_only,rej16_multi_section_list
7508A,403,xml_only,rej16_multi_section_list
7508A,404,xml_only,rej16_multi_section_list
751,732,xml_only,rej16_multi_section_list
751,741,xml_only,rej16_multi_section_list
751,995,xml_only,rej16_multi_section_list
7522,6212,xml_only,rej16_multi_section_list
7522,6303,xml_only,rej16_multi_section_list
7603,6421,xml_only,rej16_multi_section_list
7603,6427,xml_only,rej16_multi_section_list
7603,7602,xml_only,rej16_multi_section_list
7604,6421,xml_only,rej16_multi_section_list
7604,6427,xml_only,rej16_multi_section_list
7604,7602,xml_only,rej16_multi_section_list
7605,6421,xml_only,rej16_multi_section_list
7605,6427,xml_only,rej16_multi_section_list
7609,6421,xml_only,rej16_multi_section_list
7609,6427,xml_only,rej16_multi_section_list
7609,7612,xml_only,rej16_multi_section_list
7610,6421,xml_only,rej16_multi_section_list
7610,6427,xml_only,rej16_multi_section_list
7610,7602,xml_only,rej16_multi_section_list
7611,7430,xml_only,rej16_multi_section_list
7701,105,xml_only,rej16_multi_section_list
7701,106,xml_only,rej16_multi_section_list
7701,1442,xml_only,rej16_multi_section_list
7701,1443,xml_only,rej16_multi_section_list
7701,1461,xml_only,rej16_multi_section_list
78,245A,xml_only,rej16_multi_section_list
7809,7651,xml_only,rej16_multi_section_list
7809,7652,xml_only,rej16_multi_section_list
7809,7654,xml_only,rej16_multi_section_list
7809,7810,xml_only,rej16_multi_section_list
7851,1,xml_only,rej16_multi_section_list
7851,144,xml_only,rej16_multi_section_list
7851,26,xml_only,rej16_multi_section_list
7851,421,xml_only,rej16_multi_section_list
7872,643,xml_only,rej16_multi_section_list
80,801,xml_only,rej16_multi_section_list
814,1442,xml_only,rej16_multi_section_list
814,882,xml_only,rej16_multi_section_list
817A,7702,xml_only,rej16_multi_section_list
817A,7702A,xml_only,rej16_multi_section_list
818,862,xml_only,rej16_multi_section_list
818,863,xml_only,rej16_multi_section_list
83,355,xml_only,rej16_multi_section_list
83,356,xml_only,rej16_multi_section_list
833,245,xml_only,rej16_multi_section_list
842,894,xml_only,rej16_multi_section_list
85,135,xml_only,rej16_multi_section_list
85,137,xml_only,rej16_multi_section_list
85,219,xml_only,rej16_multi_section_list
85,221,xml_only,rej16_multi_section_list
85,222,xml_only,rej16_multi_section_list
85,469,xml_only,rej16_multi_section_list
853A,1,xml_only,rej16_multi_section_list
853A,1397E,xml_only,rej16_multi_section_list
857,1272,xml_only,rej16_multi_section_list
86,135,xml_only,rej16_multi_section_list
86,137,xml_only,rej16_multi_section_list
86,221,xml_only,rej16_multi_section_list
86,931,xml_only,rej16_multi_section_list
86,933,xml_only,rej16_multi_section_list
860C,1277,xml_only,rej16_multi_section_list
860G,1441,xml_only,rej16_multi_section_list
860G,1442,xml_only,rej16_multi_section_list
860G,881,xml_only,rej16_multi_section_list
864,351,xml_only,rej16_multi_section_list
864,354,xml_only,rej16_multi_section_list
864,355,xml_only,rej16_multi_section_list
864,356,xml_only,rej16_multi_section_list
864,361,xml_only,rej16_multi_section_list
864,591,xml_only,rej16_multi_section_list
864,863,xml_only,rej16_multi_section_list
865,933,xml_only,rej16_multi_section_list
865,960,xml_only,rej16_multi_section_list
871,291,xml_only,rej16_multi_section_list
871,55,xml_only,rej16_multi_section_list
874,33,xml_only,rej16_multi_section_list
877,2501,xml_only,rej16_multi_section_list
877,55,xml_only,rej16_multi_section_list
877,6039G,xml_only,rej16_multi_section_list
877,707,xml_only,rej16_multi_section_list
877A,409A,xml_only,rej16_multi_section_list
878,4948,xml_only,rej16_multi_section_list
882,1,xml_only,rej16_multi_section_list
882,55,xml_only,rej16_multi_section_list
882,59A,xml_only,rej16_multi_section_list
884,1441,xml_only,rej16_multi_section_list
884,1442,xml_only,rej16_multi_section_list
887,881,xml_only,rej16_multi_section_list
887,882,xml_only,rej16_multi_section_list
891,11,xml_only,rej16_multi_section_list
891,3,xml_only,rej16_multi_section_list
891,801,xml_only,rej16_multi_section_list
891,831,xml_only,rej16_multi_section_list
891,852,xml_only,rej16_multi_section_list
891,871,xml_only,rej16_multi_section_list
891,881,xml_only,rej16_multi_section_list
897,302,xml_only,rej16_multi_section_list
897,331,xml_only,rej16_multi_section_list
901,78,xml_only,rej16_multi_section_list
904,11,xml_only,rej16_multi_section_list
904,721,xml_only,rej16_multi_section_list
911,164,xml_only,rej16_multi_section_list
911,6011,xml_only,rej16_multi_section_list
911,6012,xml_only,rej16_multi_section_list
9501,433,xml_only,rej16_multi_section_list
9502,4271,xml_only,rej16_multi_section_list
9503,6715A,xml_only,rej16_multi_section_list
9503,6717,xml_only,rej16_multi_section_list
9503,6718,xml_only,rej16_multi_section_list
9503,6719,xml_only,rej16_multi_section_list
9503,6720A,xml_only,rej16_multi_section_list
9503,6725,xml_only,rej16_multi_section_list
9503,7232,xml_only,rej16_multi_section_list
9503,7272,xml_only,rej16_multi_section_list
9507,4661,xml_only,rej16_multi_section_list
9507,4671,xml_only,rej16_multi_section_list
951A,1248,xml_only,rej16_multi_section_list
951A,535,xml_only,rej16_multi_section_list
951A,6501,xml_only,rej16_multi_section_list
951A,6654,xml_only,rej16_multi_section_list
951A,6655,xml_only,rej16_multi_section_list
951A,851,xml_only,rej16_multi_section_list
951A,904,xml_only,rej16_multi_section_list
951A,959,xml_only,rej16_multi_section_list
951A,961,xml_only,rej16_multi_section_list
951A,962,xml_only,rej16_multi_section_list
951A,993,xml_only,rej16_multi_section_list
951A,996,xml_only,rej16_multi_section_list
953,101,xml_only,rej16_multi_section_list
953,7702,xml_only,rej16_multi_section_list
953,817,xml_only,rej16_multi_section_list
962,55,xml_only,rej16_multi_section_list
964,956,xml_only,rej16_multi_section_list
965,961,xml_only,rej16_multi_section_list
965,986,xml_only,rej16_multi_section_list
993,613A,xml_only,rej16_multi_section_list
995,32,xml_only,rej16_multi_section_list
995,34,xml_only,rej16_multi_section_list
1017,522,xml_only,xml_external_reference
112,5561,xml_only,xml_external_reference
1398,503,xml_only,xml_external_reference
1398,522,xml_only,xml_external_reference
3310,1254,xml_only,xml_external_reference
6013,101,xml_only,xml_external_reference
6013,5561,xml_only,xml_external_reference
6212,505,xml_only,xml_external_reference
6512,505,xml_only,xml_external_reference
6532,505,xml_only,xml_external_reference
7410,1396,xml_only,xml_external_reference
7422,1346,xml_only,xml_external_reference
7422,2502,xml_only,xml_external_reference
7422,507,xml_only,xml_external_reference
7424,1444,xml_only,xml_external_reference
7437,505,xml_only,xml_external_reference
7448,2107,xml_only,xml_external_reference
7482,1254,xml_only,xml_external_reference
7801,301,xml_only,xml_external_reference
9501,422,xml_only,xml_external_reference
1016,1400Z-2,rej16_only,xml_typographic_dash
6039K,1400Z-2,rej16_only,xml_typographic_dash
6039L,1400Z-2,rej16_only,xml_typographic_dash
